Full Name,Primary Company,Seed Valuation,A Valuation,B Valuation,Valuation Increase,,Series A Month,Series A Day,Series A Year,,,,CEO at A,CEO at B
Hesky Kutscher,CareDox,NaN,"19,450,000.00",NaN,#VALUE!,,,,,,,,1,1
Robert Beaver,Zazzle,NaN,"60,000,000.00","259,000,000.00",4.316666667,,,,,,,,1,1
Chris Bolte,Paysa,"$16,340,000.00 ",NaN,NaN,#VALUE!,,,,,,,,NaN,NaN
Justin Zhu,Iterable,NaN,"28,000,000.00","125,000,000.00",4.464285714,,,,,,,,1,1
Prakash Nanduri,Paxata,NaN,"10,000,000.00","35,000,000.00",3.5,,,,,,,,1,1
Ben Anderson,Amino Apps,"$3,000,000.00 ","22,000,000.00","55,000,000.00",2.5,,,,,,,,1,1
Laszlo Kishonti,AImotive,"$10,020,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Tyler Bosmeny,Clever,NaN,"49,000,000.00","248,000,000.00",5.06122449,,,,,,,,1,1
Marc Worth,Stylus Media,"$22,360,000.00 ",NaN,NaN,#VALUE!,,,,,,,,NaN,NaN
John Payne,CircleUp,"$7,320,000.00 ",0,0,#DIV/0!,,,,,,,,1,NaN
Lance Smith,Primary Data,NaN,"12,000,000.00","150,000,000.00",12.5,,,,,,,,1,1
Steve Nasiri,InvenSense,NaN,"20,000,000.00","48,000,000.00",2.4,,,,,,,,1,1
Dan Burkhart,Recurly,"$5,360,000.00 ","19,000,000.00","58,000,000.00",3.052631579,,,,,,,,1,1
Michel Feaster,Usermind,NaN,"24,000,000.00","60,000,000.00",2.5,,,,,,,,1,1
Stephan Heller,WATCHMASTER,"$5,000,000.00 ","18,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Chris Ovitz,Workpop,"$6,880,000.00 ","26,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Amitabh Sinha,Workspot,NaN,"14,000,000.00","28,000,000.00",2,,,,,,,,1,1
Nancy Hua,Apptimize,NaN,"21,000,000.00","36,000,000.00",1.714285714,,,,,,,,1,1
Guru Pangal,CloudSimple,NaN,"40,000,000.00","85,000,000.00",2.125,,,,,,,,1,1
Oliver Roup,VigLink,"$2,000,000.00 ","5,000,000.00","20,000,000.00",4,,,,,,,,1,1
Yuri Frayman,ZENEDGE,NaN,"7,700,000.00","14,000,000.00",1.818181818,,,,,,,,1,1
"Jason Langheier, MD, MPH",Zipongo,NaN,"23,000,000.00","51,000,000.00",2.217391304,,,,,,,,1,1
Jonathan Mendez,Yieldbot,"$4,310,000.00 ","30,000,000.00","68,000,000.00",2.266666667,,,,,,,,1,1
Ben Jacobs,Whistle,NaN,"21,000,000.00","27,000,000.00",1.285714286,,,,,,,,1,1
Rachel E. Haurwitz,Caribou Biosciences,NaN,"29,000,000.00","144,000,000.00",4.965517241,,,,,,,,1,1
David Yeom,Hollar,NaN,"50,000,000.00","104,000,000.00",2.08,,,,,,,,1,1
Guido Kovalskys,Nearpod,NaN,"39,000,000.00","105,000,000.00",2.692307692,,,,,,,,1,1
Tasso Roumeliotis,Wave Market,NaN,"18,000,000.00","31,000,000.00",1.722222222,,,,,,,,1,1
Florian Douetteau,Dataiku,"$17,000,000.00 ","47,000,000.00","154,000,000.00",3.276595745,,,,,,,,1,1
Josh Reich,Simple Finance Technology,NaN,"10,000,000.00","40,000,000.00",4,,M&A 117M,,,,,,1,1
Mona Bijoor,"JOOR, Inc.",NaN,"10,000,000.00","58,000,000.00",5.8,,,,,,,,1,1
Ian Crosby,Bench Accounting,"$7,000,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Borja Rossell,Verse,"$6,000,000.00 ","33,000,000.00","95,000,000.00",2.878787879,,,,,,,,1,1
Anmol Madan,Ginger.io,"$6,000,000.00 ","18,000,000.00","50,000,000.00",2.777777778,,,,,,,,1,1
Michael Simon,LogMeIn,NaN,"18,000,000.00","35,000,000.00",1.944444444,,,,,,,,1,1
Chris Tolles,Topix,NaN,"89,000,000.00",NaN,#VALUE!,,,,,,,,1,NaN
Joshua Hoffman,Zymergen,NaN,"89,000,000.00","471,000,000.00",5.292134831,,,,,,,,1,1
Paul Doersch,Kespry Inc.,NaN,"33,000,000.00","68,000,000.00",2.060606061,,,,,,,,1,1
Matthew Bencke,Mighty AI,"$16,000,000.00 ","85,000,000.00",NaN,#VALUE!,,,,,,,,1,0
David Gorodyansky,AnchorFree,NaN,"26,000,000.00","11,000,000.00",0.423076923,,Series C went up,,,,,,1,1
Eben Frankenberg,Echodyne,NaN,"38,000,000.00","94,000,000.00",2.473684211,,,,,,,,1,1
Kevin Busque,Guideline Technologies Inc.,NaN,"27,000,000.00","85,000,000.00",3.148148148,,,,,,,,1,1
Aashish Dalal,ParkWhiz,NaN,"9,500,000.00","7,300,000.00",0.768421053,,,,,,,,1,1
Prayag Narula,LeadGenius,"$17,000,000.00 ","25,000,000.00","43,000,000.00",1.72,,,,,,,,1,1
Gary Beasley,DwellConnect,NaN,"42,000,000.00","100,000,000.00",2.380952381,,,,,,,,1,1
Andre Durand,Ping Identity Corporation,NaN,"10,000,000.00","18,000,000.00",1.8,,,,,,,,1,1
Ajay Prakash,Rinse,"$10,000,000.00 ","18,000,000.00","42,000,000.00",2.333333333,,,,,,,,1,1
Michael Yavonditte,Yieldmo,NaN,"7,740,000.00","28,000,000.00",3.617571059,,,,,,,,1,1
Alain Falys,Yoyo Wallet,"$8,860,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Rodney Rogers,Virtustream,NaN,"75,000,000.00","138,000,000.00",1.84,,,,,,,,1,1
Chuck Ganapathi,Tact,NaN,"47,500,000.00","35,000,000.00",0.736842105,,,,,,,,1,1
Marcus Ryu,Guidewire Software,NaN,"8,570,000.00","58,000,000.00",6.767794632,,,,,,,,1,1
Brad Birnbaum,Kustomer,"$13,000,000.00 ","23,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Shoaib Makani,KeepTruckin,NaN,"30,000,000.00","68,000,000.00",2.266666667,,,,,,,,1,1
Roy Burstin,MiTu Network,NaN,"12,000,000.00","59,000,000.00",4.916666667,,,,,,,,1,1
Mark Johnson,Descartes Labs,NaN,"25,000,000.00","160,000,000.00",6.4,,,,,,,,1,1
Todd Sullivan,SpiritShop.com (ACQUIRED),"$5,000,000.00 ",NaN,NaN,#VALUE!,,,,,,,,NaN,NaN
Mike Xu,GrubMarket Inc,"$4,000,000.00 ","19,000,000.00","79,000,000.00",4.157894737,,,,,,,,1,1
Carlos Garcia,HYP3R,"$16,250,000.00 ",NaN,NaN,#VALUE!,,,,,,,,NaN,NaN
David Blake,Degreed,NaN,"21,250,000.00","90,000,000.00",4.235294118,,,,,,,,1,1
Dan Lynch,Stromedix,NaN,"7,000,000.00","34,000,000.00",4.857142857,,,,,,,,1,1
Geoff Schmidt,Meteor,NaN,"38,000,000.00","76,000,000.00",2,,,,,,,,1,1
Richard Rosenblatt,Whipclip / TV Time,"$5,000,000.00 ","30,000,000.00","150,000,000.00",5,,,,,,,,1,1
Stephane Dubois,"Xignite, Inc.",NaN,"10,000,000.00","44,000,000.00",4.4,,,,,,,,1,1
Carlos Diaz,Kwarter,NaN,"16,000,000.00",NaN,#VALUE!,,,,,,,,1,0
Stephen McHale,Explorys,NaN,"1,700,000.00","11,000,000.00",6.470588235,,,,,,,,1,1
Eyal Waldman,Mellanox Technologies,NaN,NaN,"125,000,000.00",#VALUE!,,,,,,,,1,1
Jen Andre,Komand,"$5,600,000.00 ",NaN,NaN,#VALUE!,,M&A after seed,,,,,,1,NaN
Xander Oxman,Winc,"$7,000,000.00 ","40,000,000.00","63,000,000.00",1.575,,,,,,,,1,1
Gaurav Munjal,Flat.to,"$2,500,000.00 ",0,0,#DIV/0!,,Bankrupt,,,,,,1,0
Noah Brier,Percolate,"$8,000,000.00 ","39,000,000.00","134,000,000.00",3.435897436,,,,,,,,1,1
Ari Roisman,Glide,NaN,NaN,"120,000,000.00",#VALUE!,,,,,,,,1,1
Per Pettersen,Impact Radius,NaN,"5,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Konrad Feldman,Quantcast,NaN,"31,000,000.00","126,000,000.00",4.064516129,,,,,,,,1,1
Oz Alon,HoneyBook,NaN,"4,500,000.00","30,000,000.00",6.666666667,,,,,,,,1,1
Siva Kumar,"TheFind, Inc.",NaN,"18,300,000.00","19,000,000.00",1.038251366,,,,,,,,1,1
Clarence Chui,"Outward, Inc.",NaN,"21,000,000.00","32,000,000.00",1.523809524,,,,,,,,1,1
Kevin Merritt,Socrata,NaN,"18,000,000.00","60,500,000.00",3.361111111,,,,,,,,1,1
Danny Leffel,Crew,"$12,000,000.00 ","21,000,000.00","76,000,000.00",3.619047619,,,,,,,,1,1
James Hind,Carwow,NaN,"9,300,000.00","9,400,000.00",1.010752688,,,,,,,,1,1
Neal Creighton,RatePoint,NaN,"13,000,000.00","25,000,000.00",1.923076923,,Out of busines after C,,,,,,1,1
Leigh Drogen,Estimize,"$6,000,000.00 ","20,000,000.00","36,000,000.00",1.8,,,,,,,,1,1
Arijit Sengupta,BeyondCore,NaN,"28,500,000.00",NaN,#VALUE!,,M&A after series A 110M,,,,,,1,NaN
Ash Ashutosh,Actifio,NaN,"20,000,000.00","52,000,000.00",2.6,,,,,,,,1,1
Scott Voigt,Homebase.io,"$860,000.00 ","32,000,000.00","95,000,000.00",2.96875,,,,,,,,1,1
Aleksandr Yampolskiy,SecurityScorecard Inc.,"$5,000,000.00 ","28,000,000.00","71,000,000.00",2.535714286,,,,,,,,1,1
Susan Tynan,Framebridge,"$6,000,000.00 ","37,500,000.00","57,500,000.00",1.533333333,,,,,,,,1,1
Rick Morrison,Comprehend Systems,NaN,"19,000,000.00","92,000,000.00",4.842105263,,,,,,,,1,1
Mike Hurst,Exactuals,NaN,"20,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Sasan Amini,Clear Labs,"$6,000,000.00 ","25,000,000.00","41,000,000.00",1.64,,,,,,,,1,1
Gene Wang,People Power,"$4,420,000.00 ","8,000,000.00","25,000,000.00",3.125,,,,,,,,1,1
Jason Liebman,Howcast,NaN,"25,000,000.00",NaN,#VALUE!,,,,,,,,1,NaN
Maxim Lobovsky,Formlabs,"$5,000,000.00 ","116,000,000.00","274,000,000.00",2.362068966,,,,,,,,1,1
Daniela Perdomo,GoTenna,"$5,000,000.00 ","22,500,000.00","33,000,000.00",1.466666667,,,,,,,,1,1
Adam Odessky,Sense.ly,"$6,000,000.00 ","10,000,000.00","30,000,000.00",3,,,,,,,,1,1
Blake Hall,ID.me,"$15,000,000.00 ","32,000,000.00","80,000,000.00",2.5,,,,,,,,1,1
Aaron Gowell,SilverRail Technologies,NaN,"16,000,000.00","38,000,000.00",2.375,,,,,,,,1,1
Javier de la Torre,CARTO,NaN,"30,000,000.00","100,000,000.00",3.333333333,,,,,,,,1,1
Patrick Bosworth,Duetto,"$11,000,000.00 ","38,500,000.00","70,000,000.00",1.818181818,,,,,,,,1,1
Liang Lu,5miles,NaN,NaN,"300,000,000.00",#VALUE!,,,,,,,,1,1
George Bousis,Raise Marketplace,NaN,"25,000,000.00","93,000,000.00",3.72,,,,,,,,1,1
Reza Mohsin,Speakeasy,"$5,500,000.00 ","20,500,000.00",NaN,#VALUE!,,,,,,,,1,NaN
Rujul Zaparde,FlightCar,NaN,"47,000,000.00","105,000,000.00",2.234042553,,,,,,,,1,1
Jay Radia,Yieldify,"$11,000,000.00 ","54,000,000.00",NaN,#VALUE!,,,,,,,,1,NaN
Benzi Ronen,Farmigo,NaN,"6,000,000.00","56,000,000.00",9.333333333,,,,,,,,1,1
Tim Weingarten,The Hunt,NaN,"19,500,000.00","34,500,000.00",1.769230769,,,,,,,,1,1
Glen Coates,Handshake,"$6,500,000.00 ","28,000,000.00","54,000,000.00",1.928571429,,,,,,,,1,1
Zachary Goldstein,Thanx,NaN,"21,000,000.00","46,000,000.00",2.19047619,,,,,,,,1,1
Kevin Lustig,Scientist.com (formerly Assay Depot),NaN,"10,000,000.00","20,000,000.00",2,,,,,,,,1,1
David Ronick,Stash,"$16,000,000.00 ","33,000,000.00","100,000,000.00",3.03030303,,,,,,,,0,0
Osama Elkady,INCORTA,"$20,000,000.00 ","38,000,000.00","60,000,000.00",1.578947368,,,,,,,,1,1
Alejandro Cosentino,Afluenta,NaN,"12,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Erik Fairbairn,Pod Point,"$31,500,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Damian Kimmelman,DueDil,NaN,"14,000,000.00","48,000,000.00",3.428571429,,,,,,,,1,1
Jeff Flowers,SageCloud,"$10,000,000.00 ",NaN,"33,000,000.00",#VALUE!,,Bankrupt,,,,,,1,1
Nathan Burba,Survios,NaN,"16,000,000.00","46,000,000.00",2.875,,,,,,,,1,1
Brandon Rodman,Weave,"$630,000.00 ",0,0,#DIV/0!,,,,,,,,0,0
Eldar Tuvey,Wandera,"$14,000,000.00 ","29,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Spencer Kimball,Cockroach Labs,"$26,400,000.00 ","145,000,000.00","268,000,000.00",1.848275862,,,,,,,,1,1
Toby Olshanetsky,prooV,"$10,000,000.00 ","26,000,000.00","84,000,000.00",3.230769231,,,,,,,,1,1
Brett Schulman,Cava Grill,NaN,"24,000,000.00","160,000,000.00",6.666666667,,,,,,,,1,1
Scott Crouch,Mark43,"$6,000,000.00 ","28,000,000.00","116,000,000.00",4.142857143,,,,,,,,1,1
Lisa Gersh,Goop Inc.,"$23,500,000.00 ","40,000,000.00","65,000,000.00",1.625,,,,,,,,1,0
Narges Bani Asadi,Bina Technologies,NaN,"5,550,000.00","25,500,000.00",4.594594595,,,,,,,,1,1
Assaf Resnick,BigPanda,"$4,000,000.00 ","23,000,000.00","66,540,000.00",2.893043478,,,,,,,,1,1
Timothy Chi,WeddingWire,NaN,"14,220,000.00","26,500,000.00",1.863572433,,,,,,,,1,1
Seth Lieberman,SnapApp,NaN,"48,000,000.00","60,000,000.00",1.25,,,,,,,,1,1
Jud Bowman,Appia,"$7,210,000.00 ","74,550,000.00","108,000,000.00",1.448692153,,,,,,,,1,1
Nessan Bermingham,Intellia Therapeutics,NaN,"40,000,000.00","240,000,000.00",6,,,,,,,,1,1
Sean Grundy,Bevi,"$9,000,000.00 ","18,500,000.00","33,000,000.00",1.783783784,,,,,,,,1,1
Matiss Ansviesulis,Creamfinance,NaN,NaN,"56,000,000.00",#VALUE!,,,,,,,,1,1
Mike Whitmire,FloQast,NaN,"19,000,000.00","90,000,000.00",4.736842105,,,,,,,,1,1
Oren Levy,Zooz,NaN,"10,000,000.00",NaN,#VALUE!,,,,,,,,1,1
John West,Whistle Sports,NaN,"23,000,000.00","85,000,000.00",3.695652174,,,,,,,,1,1
Juha Koponen,Swap.com,NaN,NaN,"56,000,000.00",#VALUE!,,,,,,,,1,1
Tony Mamone,Livingly Media,NaN,"17,000,000.00","55,000,000.00",3.235294118,,,,,,,,1,1
Alberto Sheinfeld,Payfully,"$5,000,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,0
Javier Soltero,Acompli,NaN,"25,000,000.00","200,000,000.00",8,,,,,,,,1,0
Avner Ronen,Boxee,NaN,"10,700,000.00","26,200,000.00",2.448598131,,,,,,,,1,1
Denise Thomas,ApplePie Capital,"$12,000,000.00 ","27,500,000.00","56,000,000.00",2.036363636,,,,,,,,1,1
Jason Oberfest,Mango Health,"$8,500,000.00 ","22,000,000.00","33,000,000.00",1.5,,,,,,,,1,1
Babur Ozden,Maana,"$8,000,000.00 ","27,000,000.00","86,000,000.00",3.185185185,,,,,,,,1,1
Jim Gilliam,NationBuilder,NaN,"23,000,000.00","90,000,000.00",3.913043478,,,,,,,,1,1
Gregory Mark,Markforged,"$3,000,000.00 ","23,500,000.00","58,000,000.00",2.468085106,,,,,,,,1,1
James Foster,ZeroFOX,"$8,000,000.00 ","30,500,000.00","170,000,000.00",5.573770492,,,,,,,,1,0
Daniel Hegarty,Habito,"$7,500,000.00 ","25,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Alex Freedland,Mirantis,NaN,"61,000,000.00","555,550,000.00",9.107377049,,,,,,,,1,1
Inder Singh,Kinsa,"$11,500,000.00 ","25,000,000.00","50,000,000.00",2,,,,,,,,1,1
Chandran Sankaran,Zyme Solutions,NaN,"13,000,000.00","29,000,000.00",2.230769231,,"* Acq for 100,000,000",,,,,,1,1
Sajith Wickramasekara,Benchling,NaN,"20,420,000.00","40,000,000.00",1.958863859,,,,,,,,1,1
Eric Greenberg,Wrap Media,Nan,"10,000,000.00","40,500,000.00",4.05,,,,,,,,1,1
Erik Eliason,storefront,"$10,000,000.00 ","27,540,000.00",NaN,#VALUE!,,,,,,,,1,1
Nicholas Rellas,Drizly,"$11,430,000.00 ","50,000,000.00","75,000,000.00",1.5,,,,,,,,1,1
Brian NeSmith,Arctic Wolf Networks,NaN,"36,000,000.00","105,000,000.00",2.916666667,,,,,,,,1,1
John Ham,Ustream,NaN,"40,000,000.00",NaN,#VALUE!,,"* Acq for 130,000,000",,,,,,1,1
Ben Katz,CARD.com,"$6,000,000.00 ","17,000,000.00","27,000,000.00",1.588235294,,,,,,,,1,1
Omer Artun,AgilOne,"$17,500,000.00 ","51,000,000.00","115,500,000.00",2.264705882,,,,,,,,1,1
Michael Huang,Glow,"$19,000,000.00 ","27,000,000.00","86,000,000.00",3.185185185,,,,,,,,1,1
Asi Sharabi,Wonderbly,"$4,230,000.00 ",NaN,NaN,#VALUE!,,,,,,,,1,1
Benny De-Kalo,Worthy,NaN,"26,300,000.00",NaN,#VALUE!,,,,,,,,1,1
Ari Tulla,BetterDoctor,"$9,000,000.00 ","25,000,000.00","23,000,000.00",0.92,,,,,,,,1,1
Phil Harris,Geofeedia,"$7,000,000.00 ","26,000,000.00","105,000,000.00",4.038461538,,,,,,,,1,1
Bonnie Crater,Full Circle Insights,NaN,"8,500,000.00","26,000,000.00",3.058823529,,,,,,,,1,1
Matt Zitzmann,Kamcord,NaN,"41,000,000.00","105,000,000.00",2.56097561,,,,,,,,1,1
Matthew Bellows,Yesware,"$3,500,000.00 ","12,220,000.00","41,000,000.00",3.355155483,,,,,,,,1,1
Paul Albright,Captora,NaN,"14,700,000.00","104,000,000.00",7.074829932,,,,,,,,1,1
Martin Floreani,FloSports,NaN,"40,00,000","93,000,000.00",#VALUE!,,,,,,,,1,1
Hugo Fiennes,Electric Imp,NaN,"27,000,000.00","62,000,000.00",2.296296296,,,,,,,,1,1
Tal Weiss,OverOps,NaN,"12,000,000.00","57,000,000.00",4.75,,,,,,,,1,1
Ross Shanken,Jornaya,"$6,000,000.00 ","32,000,000.00","50,000,000.00",1.5625,,,,,,,,1,1
Don Spear,OpenSesame,NaN,"17,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Fred Shilmover,InsightSquared,NaN,"15,000,000.00","43,000,000.00",2.866666667,,,,,,,,1,1
Chris Giordano,MiMedia,"$25,000,000.00 ","88,000,000.00","45,000,000.00",0.511363636,,,,,,,,1,0
Mark T. Lynn,DSTLD,"$12,000,000.00 ","32,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Jason Brown,Tally Technologies,"$9,000,000.00 ","50,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Gregg Sando,Cell Medica,NaN,NaN,"104,000,000.00",#VALUE!,,,,,,,,1,0
Ran Sarig,Datorama,NaN,"10,000,000.00","51,000,000.00",5.1,,,,,,,,1,1
Asaf Somekh,iguazio,NaN,NaN,"100,000,000.00",#VALUE!,,,,,,,,1,1
Michael Carvin,SmartAsset,"$8,000,000.00 ","20,000,000.00","61,000,000.00",3.05,,,,,,,,1,1
Amit Chatterjee,Leap Commerce,NaN,"12,110,000.00",NaN,#VALUE!,,,,,,,,1,0
Bob Richards,"Moon Express, Inc.",NaN,"10,000,000.00","40,000,000.00",4,,,,,,,,1,1
Ethan Song,Frank & Oak,NaN,"16,200,000.00",NaN,#VALUE!,,,,,,,,1,1
Jay Desai,PatientPing,NaN,"35,000,000.00","88,000,000.00",2.514285714,,,,,,,,1,1
Kumar Mehta,Versa Networks,NaN,"35,000,000.00","116,000,000.00",3.314285714,,,,,,,,1,0
Saki Dodelson,Achieve3000,NaN,"7,000,000.00","14,000,000.00",2,,,,,,,,1,1
Brian Schechter,HowAboutWe,NaN,"60,150,000.00","54,000,000.00",0.897755611,,,,,,,,1,1
Tony Zhao,Agora.io,NaN,NaN,"100,000,000.00",#VALUE!,,,,,,,,1,1
David Soloff,Premise,"$8,500,000.00 ","16,000,000.00","55,000,000.00",3.4375,,,,,,,,1,1
Alex Gorelik,Waterline Data,NaN,"15,000,000.00","42,000,000.00",2.8,,,,,,,,1,1
Jeffrey Marrazzo,Spark Therapeutics,NaN,"70,000,000.00","133,000,000.00",1.9,,"* IPO at 540,000,000",,,,,,1,0
Georg Petschnigg,FiftyThree,"$7,100,000.00 ","93,360,000.00","190,580,000.00",2.04134533,,,,,,,,1,1
Amit Narayan,Autogrid,NaN,"6,530,000.00","17,350,000.00",2.656967841,,,,,,,,1,1
Anand Babu Periasamy,"Minio, Inc.","$11,000,000.00 ","63,000,000.00",NaN,#VALUE!,,,,,,,,1,1
Manu Mathew,Visual IQ,NaN,"12,130,000.00","33,180,000.00",2.735366859,,,,,,,,1,1
T.J. Clark,TurnKey Vacation Rentals,"$17,070,000.00 ","42,500,000.00","65,000,000.00",1.529411765,,,,,,,,1,1
Nick Francis,Help Scout,"$3,250,000.00 ","21,000,000.00","41,000,000.00",1.952380952,,,,,,,,1,1
Rachel Carlson,Guild Education,NaN,NaN,"125,000,000.00",#VALUE!,,,,,,,,1,1
Orazio Buzza,Fooda,NaN,"12,500,000.00","28,000,000.00",2.24,,,,,,,,1,1
Bo Lu,FutureAdvisor,NaN,"18,000,000.00","47,000,000.00",2.611111111,,,,,,,,1,1
Nikhil Sethi,Adaptly,"$4,000,000.00 ","14,000,000.00","47,000,000.00",3.357142857,,,,,,,,1,1
Saar Yoskovitz,Augury,"$7,500,000.00 ","28,000,000.00","68,000,000.00",2.428571429,,,,,,,,1,1
Kreg Peeler,SpinGo,NaN,"16,000,000.00",NaN,#VALUE!,,,,,,,,1,0
David Perry,Gaikai,NaN,"17,000,000.00","45,000,000.00",2.647058824,,,,,,,,1,1
Mallik Sundaram,Mitra Biotech,NaN,NaN,"250,000,000.00",#VALUE!,,,,,,,,1,1
Sachin Kamdar,Parsely,NaN,"2,400,000.00","15,000,000.00",6.25,,,,,,,,1,1
Russell Fradin,Dynamic Signal,NaN,"30,000,000.00","80,000,000.00",2.666666667,,,,,,,,1,1
Aaron Schildkrout,HowAboutWe,NaN,"60,150,000.00","53,000,000.00",0.881130507,,,,,,,,1,0
Alexis Prenn,Receipt Bank,"$470,000.00 ","30,000,000.00",NaN,,,,,,,,,1,1
Rashid Mansoor,Hadean,"$17,000,000.00 ",NaN,NaN,,,,,,,,,1,1
John Belizaire,FirstBest,NaN,"26,000,000.00","23,000,000.00",,,,,,,,,1,1
Jacob Taylor,"Replicat, Inc.","$8,500,000.00 ","20,000,000.00",NaN,,,,,,,,,1,1
Spencer Hutchins,Reflexion Health,"$9,320,000.00 ","22,000,000.00","35,000,000.00",,,,,,,,,1,1
Sheeroy D. Desai,Gild,"$6,000,000.00 ","17,000,000.00","53,500,000.00",,,,,,,,,1,1
Frank Huerta,TransLattice,NaN,"27,000,000.00","28,660,000.00",,,,,,,,,1,1
Jon Radoff,Disruptor Beam,"$2,550,000.00 ","14,420,000.00",NaN,,,,,,,,,1,1
Ola Sars,Soundtrack Your Brand,NaN,NaN,"8,000,000.00",,,,,,,,,1,1
Jason Kassin,FilmTrack,NaN,"44,000,000.00","76,120,000.00",,,,,,,,,1,1
Inder Guglani,Guru,"$11,510,000.00 ","30,000,000.00",NaN,,,,,,,,,1,1
Carlin Wiegner,CubeTree,NaN,"9,000,000.00","20,000,000.00",,,"* Acq for 20,000,000",,,,,,1,1
Nisan Gabbay,Sociable Labs,NaN,"4,110,000.00","26,000,000.00",,,,,,,,,1,1
Richard Price,Academia.edu,NaN,"25,640,000.00","47,330,000.00",,,,,,,,,1,1
Vince Passione,"LendKey Technologies, Inc.",NaN,"18,000,000.00","43,000,000.00",,,,,,,,,1,1
James Gwertzman,"PlayFab, Inc.",NaN,"26,050,000.00",NaN,,,,,,,,,1,1
Sravish Sridhar,Kinvey,"$5,310,000.00 ","19,000,000.00","38,000,000.00",,,,,,,,,1,1
Hironobu Yoshikawa,Treasure Data,NaN,"35,000,000.00","87,800,000.00",,,,,,,,,1,1
Mike Cook,XOR Data Exchange,NaN,"16,460,000.00",NaN,,,,,,,,,1,1
Amar Arsikere,Infoworks,NaN,"14,000,000.00","50,000,000.00",,,,,,,,,1,1
Yoshinari Yoshikawa,Miselu Inc.,NaN,"14,320,000.00","30,000,000.00",,,,,,,,,1,1
Opher Kahane,Origami Logic,NaN,"32,190,000.00","100,000,000.00",,,,,,,,,1,1
McKay Thomas,"First Opinion, Inc.",NaN,NaN,"22,190,000.00",,,"* Acq for $22,300,000",,,,,,1,1
Noah Ready-Campbell,Twice,NaN,"20,700,000.00",NaN,,,,,,,,,1,1
Daniel Roth,Semantic Machines,NaN,"34,000,000.00","112,380,000.00",,,,,,,,,1,1
David Friedman,Ayla Networks,NaN,"15,350,000.00","45,200,000.00",,,,,,,,,1,1
Steven Lam,GOGOVAN,NaN,NaN,"100,000,000.00",,,* Acq for 1B,,,,,,1,1
Neil Warren,eHarmony,NaN,"15,750,000.00","702,000,000.00",,,,,,,,,1,1
Joshua Feast,Cogito Corporation,NaN,"21,000,000.00","60,000,000.00",,,,,,,,,1,1
James Sider,Bandpage,NaN,"11,720,000.00","125,140,000.00",,,,,,,,,1,1
David Vinca,eSpark,"$5,000,000.00 ","13,700,000.00",NaN,,,,,,,,,1,NaN
Shaun Ritchie,Teem,"$5,440,000.00 ","17,630,000.00","41,560,000.00",,,,,,,,,1,1
Marc Fenigstein,Alta Motors,NaN,"25,500,000.00",NaN,,,,,,,,,1,1
Mike Harris,Zonoff,NaN,"11,640,000.00","108,000,000.00",,,,,,,,,1,1
Alfred Chuang,Magnet Systems Inc.,NaN,"41,200,000.00","276,000,000.00",,,,,,,,,1,1
Gregg Freishtat,SalesWise,NaN,"10,270,000.00",NaN,,,,,,,,,1,NaN
Andrew Blackmon,The Black Tux,"$11,130,000.00 ","43,480,000.00",NaN,,,,,,,,,1,1
Thomas Noyes,Commerce Signals,NaN,"17,000,000.00","36,000,000.00",,,,,,,,,1,1
Nadia Shalaby,Arctic Sand Technologies,NaN,"21,630,000.00","48,790,000.00",,,,,,,,,1,0
Osman Khan,Paddle8,NaN,"8,000,000.00","23,000,000.00",,,,,,,,,1,1
Eric Heil,RightCare Solutions,NaN,"4,410,000.00","13,000,000.00",,,,,,,,,1,1
Rishi Bali,YOGASMOGA,NaN,"38,000,000.00","74,000,000.00",,,,,,,,,1,1
Brett Galloway,Xova Labs,"$8,000,000.00 ",0,0,,,,,,,,,0,0
David Norris,MD Insider,"$24,000,000.00 ",NaN,"36,000,000.00",,,,,,,,,1,1
Anna Zornosa,Ruby Ribbon,NaN,"9,500,000.00","25,000,000.00",,,,,,,,,1,1
Lisa Stone,BlogHer,NaN,"9,000,000.00","22,000,000.00",,,,,,,,,1,1
Scott Tilton,Hookit,NaN,"2,250,000.00","15,000,000.00",,,,,,,,,1,1
Geoff Tate,Flex Logix Technologies,"$1,740,000.00 ","24,400,000.00","62,000,000.00",,,,,,,,,1,1
Adam Healey,"Borrowed & Blue, Inc.","$12,590,000.00 ","23,850,000.00",NaN,,,,,,,,,1,0
Slavik Markovich,Demisto,NaN,"20,000,000.00","75,000,000.00",,,,,,,,,1,1
