Full Name,Primary Company,Founding Time,Previous startups?,Consulting before start-up,Undergraduate College,Standardized University,Education (Type of degree/major),Standardized Major,Degree Type,Graduate Degree Time,Graduate Institution,Standardized Graduate Institution,Graduate Studies,Standardized Graduate Studies,Graduate Diploma,Ever served as TA/Teacher/Professor/Mentor?,# Years of employment (non-founder),Worked as product manager/director/head/VP?,Worked at Google?,Worked at Microsoft?,Worked in Sales?
Joshua Viner,Wag,2015,2,0,,,,,,,,,,,,0,10,1,0,0,0
Aloke Bajpai,ixigo.com,2006,0,0,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,Electrical Engineering,Electrical Engineering,,2005,University of Pennsylvania,University of Pennsylvania,Business,Business,MBA,0,13,0,0,0,0
Joe Greenstein,Flixster,2005,1,0,University of Pennsylvania,University of Pennsylvania,Computer Science Engineering,Computer Science,,,,,,,,0,2,1,0,0,0
Jim Marggraff,Eyefluence,2013,3,0,Massachusetts Institute of Technology,Massachusetts Institute of Technology,EECS,Electrical Engineering,BS,,,,,,,1,5,1,1,0,0
Victor Ho,FiveStars,2010,0,1,"University of California, Berkeley",University of California Berkeley,"Business Administration, Operations Research, Rhetoric",Operations Research,BS,,,,,,,1,8,0,0,0,0
Clara Shih,Hearsay Systems,2009,0,1,Stanford University,Stanford University,Computer Science,Computer Science,BS,,University of Oxford,University of Oxford,,,MS,1,9,0,1,1,0
Robbie Cape,98point6,2015,1,0,Princeton University,Princeton University,Engineering and Management Systems,Operations Research,BE,,,,,,,0,0,0,0,0,0
Stephanie Horbaczewski,StyleHaul,2010,0,0,Trinity College Hartford,Trinity College Hartford,Classics,English,BA,2003,Suffolk University - Sawyer Business School,Suffolk University,Business,Business,MBA,0,3,0,0,0,0
Garrett Lord,Handshake,2012,1,1,Michigan Technological University,Michigan Technological University,Software&Systems Engineering,Computer Science,BS,,,,,,,0,9,0,0,0,0
Rohit Gupta,Palerra Inc.,,0,0,,,,,,,,,,,,1,0,1,0,0,0
Diaz Nesamoney,Jivox,2007,1,0,,,,,,1983,"Birla Institute of Technology and Science, Pilani",Birla Institute of Technology and Science Pilani,Computer Science,Computer Science,MS,1,12,0,0,0,0
Jon Sobel,Sight Machine,2012,0,0,Princeton University,Princeton University,Public Policy,Public Policy,BA,2005,University of Pennsylvania,University of Pennsylvania,Business,Business,MBA,1,13,0,0,0,0
Mayank Bawa,Aster Data Systems,2011,0,0,"Indian Institute of Technology, Bombay",Indian Institute of Technology Bombay,Computer Science and Engineering,Computer Science,BE,1999,Stanford University,Stanford University,Computer Science,Computer Science,PhD,0,4,0,0,0,1
Yoav Kutner,Oro Inc.,2012,4,0,"University of California, Los Angeles",University of California Los Angeles,Computer Science,Computer Science,BS,,,,,,,1,0,0,0,0,0
Hakan Bas,Lidyana.com,2011,7,1,Cornell University,Cornell University,Economics,Economics,BA,2008,Yale University,Yale University,Business,Business,MBA,1,11,0,0,0,0
Eric Alterman,flowthings.io,2010,9,0,Tufts University,Tufts University,"Political Science, Law",Political Science,BA,1985,Washington College of Law American University,Washington College of Law,Law,Law,JD,0,8,0,0,0,0
Carlos Watson,Ozy Media,2016,0,1,Syracuse University - Martin J. Whitman School of Management,Syracuse University,Entrepreneurship and Emerging Enterprises,Business,BS,,,,,,,1,1,0,0,0,0
Ashish Hemrajani,BookMyShow,1999,0,0,,,,,,1995,Sydenham,Sydenham,Business,Business,MBA,0,14,0,0,0,0
Todd Olson,Pendo,2014,2,1,Carnegie Mellon University,Carnegie Mellon University,"ECE,CS",Computer Science,BS,,,,,,,1,5,0,0,0,0
David Rusenko,Weebly,2006,0,0,Penn State University,Penn State University,Information Sciences & Technology,Operations Research,BS,,,,,,,1,9,0,0,0,0
Brian Ballard,Upskill (formerly APX Labs),2011,0,0,Carnegie Mellon University,Carnegie Mellon University,Electrical and Computer Engineering,Electrical Engineering,BS,2002,University of Maryland University College,University of Maryland,Business,Business,MBA,1,6,0,0,0,0
Logan LaHive,Belly,2011,0,0,"University of California, Berkeley",University of California Berkeley,,,,,,,,,,1,1,1,0,0,0
Mike Bergelson,Everwise,2012,3,1,Cornell University,Cornell University,Operations Research Engineering,Operations Research,BS,,,,,,,1,2,0,0,0,0
Michael Ellenbogen,Evolv Technology,2013,1,0,Colgate University,Colgate University,Physics,Physics,BA,,,,,,,1,6,0,0,0,1
Matt Barnard,Plenty Inc.,2013,1,0,Northwestern University,Northwestern University,Economics,Economics,BA,2002,Stanford University,Stanford University,Management,Business,MS,1,7,0,0,0,0
Assaf Biderman,Superpedestrian,2012,0,0,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,,,,,,,,0,4,0,0,0,0
Sarah Nahm,Lever,2012,0,0,Stanford University,Stanford University,Product Design and Mechanical Engineering,Mechanical Engineering,BS,,,,,,,0,4,0,1,0,0
Andrew Feldman,SeaMicro,2007,0,0,Stanford University,Stanford University,Economics/Political Science,Economics,BA,1995,Stanford University,Stanford University,Business,Business,MBA,0,16,0,0,0,1
Niraj Shah,Wayfair,2002,1,0,Cornell University,Cornell University,Engineering,Engineering,BS,,,,,,,0,0,0,0,0,0
Moshe Vaknin,YouAppi,2011,1,0,Monmouth University,Monmouth University,Electrical and Electronics Engineering,Electrical Engineering,BA,1993,Saint Peter's University,Saint Peter's University,Business,Business,MBA,0,10,1,0,0,0
Aaron Hirschhorn,DogVacay,2012,0,1,Swarthmore College,Swarthmore College,Neuroscience,Cognitive Science,BA,2003,"University of California, Los Angeles - The Anderson School of Management",University of California Los Angeles ,Business,Business,MBA,0,10,0,0,0,0
Harry Glaser,Periscope Data,2012,0,0,University of Rochester,University of Rochester,Computer Science,Computer Science,BS,,,,,,,0,3,0,1,0,0
Eric Frenkiel,MemSQL,2011,0,0,Stanford University,Stanford University,Management Science & Engineering,Operations Research,BS,,,,,,,0,2,1,1,0,0
Jim Fowler,"Owler, Inc.",2011,1,0,University of Colorado Boulder,University of Colorado Boulder,Central and East European Studies,International Relations,BA,,,,,,,0,7,0,0,0,1
Yair Goldfinger,AppCard,2011,2,0,Tel Aviv University,Tel Aviv University,Math and Computer Science,Computer Science,BA,,,,,,,0,0,0,0,0,0
Aron Gelbard,Bloom & Wild,2013,0,1,University of Oxford,University of Oxford,French and German,Language,BA,2007,Harvard Business School,Harvard University,Business,Business,MBA,0,7,1,1,0,0
Christophe Bisciglia,WibiData,2010,1,0,University of Washington,University of Washington,Computer Science,Computer Science,BS,,,,,,,0,5,0,1,0,0
Mike Silagadze,Top Hat,2009,0,0,University of Waterloo,University of Waterloo,Electrical Engineering ,Electrical Engineering,BS,,,,,,,0,3,0,0,0,0
Mingming Zhu,Rokid,,0,0,,,,,,,,,,,,,,0,0,0,0
Ethan Anderson,MyTime,2011,2,1,Duke University,Duke University,"Economics, Public Policy Studies",Economics,BA,2001,Harvard Business School,Harvard University,Business,Business,MBA,1,8,0,0,0,0
Kevin MacDonald,Kit Check,2012,0,0,Villanova University,Villanova University,Computer Science,Computer Science,BS,,,,,,,0,11,0,0,0,0
Parker Conrad,Zenefits,2012,2,0,Harvard University,Harvard University,Chemistry,Chemistry,BA,,,,,,,0,3,1,0,0,0
Josh Switkes,Peloton Technology,2010,0,1,Harvey Mudd College,Harvey Mudd College,Engineering,Engineering,BS,2001,Stanford University,Stanford University,Mechanical Engineering,Mechanical Engineering,PhD,1,7,0,0,0,0
Ronen Lazar,INTURN,2013,2,0,Yeshiva University,Yeshiva University,Economics,Economics,BA,,,,0,,,1,0,0,0,0,0
Ann Johnson,Interana,2012,0,0,California Institute of Technology,California Institute of Technology,Electrical Engineering,Electrical Engineering,BS,,California Institute of Technology,California Institute of Technology,Electrical Engineering,Electrical Engineering,MS,0,5,0,0,0,0
Steve McCanne,Jut Inc,2013,2,0,University of California Berkeley,University of California Berkeley,Electrical Engineering and Computer Science,Electrical Engineering,BS,,University of California Berkeley,University of California Berkeley,Computer Science,Computer Science,PhD,1,12,0,0,0,0
Yinglian Xie,DataVisor,2013,0,0,Peking University,Peking University,Computer Science,Computer Science,BS,2005,Carnegie Mellon University,Carnegie Mellon University,Computer Science,Computer Science,PhD,1,7,0,0,1,0
Anil Stocker,MarketInvoice,2011,0,0,University of Cambridge,University of Cambridge,Economics,Economics,BA,,,,,,,0,5,0,0,0,0
Rajiv Khemani,Innovium Inc,2015,1,0,"Indian Institute of Technology, Delhi",Indian Institute of Technology Delhi,Computer Science,Computer Science,BE,1993,Stanford University,Stanford University,Business,Business,MBA,1,23,0,0,0,1
Drew McElroy,Transfix,2013,0,0,Georgetown University,Georgetown University,"Business Administration and Management, General",Business,BS,,,,,,,0,9,0,0,0,0
Joseph Fasone,Pilot,2014,0,0,,,,,,,,,,,,0,4,0,0,0,0
Allan Wille,Klipfolio,2001,1,0,Carleton University,Carleton University,Industrial Design,Design,BA,,,,,,,1,2,0,0,0,0
Philippe Gelis,Kantox,2011,0,1,,,,,,2002,Instituto Tecnológico y de Estudios Superiores de Monterrey,Instituto Tecnológico y de Estudios Superiores de Monterrey,Business,Business,MBA,0,6,0,0,0,0
Mark Trefgarne,LiveRail,2007,0,0,UCL,UCL,Economics and Business,Economics,BA,,,,,,,0,4,1,0,0,0
Nate Quigley,Chatbooks,2011,1,1,Brigham Young University,Brigham Young University,Accounting,Business,BS,1999,Harvard Business School,Harvard University,Business,Business,MBA,0,2,0,0,0,0
Noah Lang,stride health,2013,0,1,Stanford University,Stanford University,Product Design,Desgin,BS,,,,,,,0,6,0,0,0,1
Royce Disini,Mobcrush,2014,2,0,Santa Clara University,Santa Clara University,"Finance, Computer Engineering*",Business,BS,,UCLA Anderson School of Management,University of California Los Angeles,Business,Business,MBA,0,4,1,0,0,0
Tim Hwang,FiscalNote,2013,0,0,Princeton University,Princeton University,Woodrow Wilson School of Public & International Affairs,Political Science,BA,,Harvard Business School,Harvard University,Business,Business,MBA,0,0,0,0,0,0
Frank Mycroft,Booster Fuels,2014,0,1,Princeton University,Princeton University,Mechanical & Aerospace Engineering,Mechanical Engineering,BE,2010,Harvard Business School,Harvard University,Business,Business,MBA,1,6,0,0,0,0
Girish Pancha,StreamSets,2014,0,0,Stanford University,Stanford University,EECS,Electrical Engineering,BA,1986,University of Pennsylvania,University of Pennsylvania,Electrical Engineering,Electrical Engineering,MEng,0,23,1,0,0,1
Steven Cox,TakeLessons,2006,0,0,Eastern Kentucky University,Eastern Kentucky University,"Investment Finance, Human Communications",Business,BA,,,,,,,0,13,0,0,0,1
Aaron Bell,AdRoll,2007,0,0,Stanford University,Stanford University,Computer Science,Computer Science,BS,,,,,,,1,12,0,0,0,0
Jeff Haynie,Pinpoint,2017,2,0,"Southern Illinois University, Carbondale",Southern Illinois University Carbondale,,,,,,,,,,0,3,0,0,0,0
Paula Long,DataGravity,2012,0,0,,,,,,,,,,,,0,3,0,0,0,0
David Gandler,fuboTV,2014,0,0,Boston University,Boston University,Economics,Economics,BA,,,,,,,0,8,0,0,0,1
Duncan Lennox,Qstream,2008,0,0,University College Dublin,University College Dublin,Computer Science,Computer Science,BS,,,,,,,0,6,0,0,0,0
Fadzarudin Anuar,FashionValet,2010,0,1,Cambridge Tutors College,Cambridge Tutors College,,,,2006,Imperial College London,Imperial College London,Aeronautical Engineering,Engineering,MS,0,2,0,0,0,0
Vincent Mallet,Color Labs Inc.,,0,0,,,,,,,,,,,,,,0,1,0,0
John Kobs,Apartment List,2011,2,0,Case Western Reserve University,Case Western Reserve University,"Management, Finance",Business,BS,,,,,,,0,5,0,0,0,0
Ryan Carson,Treehouse Island,2010,1,0,Colorado State University,Colorado State University,Computer Science,Computer Science,BS,,,,,,,0,1,0,0,0,0
Timothy Ericson,Zagster,2007,0,0,Drexel University,Drexel University,Business Administration,Business,BS,,,,,,,0,1,0,0,0,0
Sunny Gupta,Apptio,2007,1,1,University of South Carolina,University of South Carolina,Computer Science,Computer Science,BS,,,,,,,0,10,0,0,0,0
Naveen Gupta,BirdEye,2013,0,0,Birla Institute of Technology and Science Pilani,Birla Institute of Technology and Science Pilani,Electrical and Electronics Engineering,Electrical Engineering,,2005,Harvard Business School,Harvard University,Business,Business,MBA,1,15,1,0,0,0
Andy Ory,Acme Packet,,0,0,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
Awais Nemat,PLUMgrid,2011,1,0,NED University of Engineering and Technology,NED University of Engineering and Technology,EECS,Electrical Engineering,BA,1998,Stanford University,Stanford University,,,,0,15,1,0,0,0
Brynne Kennedy,MOVE Guides,2012,0,0,Yale University,Yale University,History,History,BA,2010,London Business School,London Business School,Business,Business,MBA,0,4,0,0,0,0
Rajesh Ramanand,Signifyd,2011,0,0,Tulane University,Tulane University,Computer Engineering,Computer Science,BA,,Tulane University,Tulane University,,,MS,1,10,1,0,0,0
Ryan Watts,Denali Therapeutics,2015,0,0,University of Utah,University of Utah,Biology,Biology,BA,2000,Stanford University,Stanford University,Biological Science,Biology,PhD,1,11,1,0,0,0
Amir Haleem,Helium Systems,2013,1,0,The University of Manchester,University of Manchester,Artificial Intelligence,Cognitive Science,BS,,,,,,,0,10,1,0,0,0
Blair Harrison,Frequency,2009,2,0,University of Bristol,University of Bristol,Computer Systems Engineering,Computer Science,BE,,,,,,,0,0,0,0,0,0
Bhavin Shah,Refresh.io,2011,1,0,"University of California, San Diego (UCSD)",University of California San Diego,Computer Science,Computer Science,BA,1999,Stanford University,Stanford University,"Education, Technology, & Business",Education,MA,NaN,NaN,NaN,NaN,NaN,NaN
Zach Supalla,Particle,2012,0,1,Dartmouth College,Dartmouth College,Cognitive Science,Cognitive Science,BA,2010,Northwestern University - Kellogg School of Management,Northwestern University,Business,Business,MBA,0,3,0,0,0,0
Michael Tiffany,White Ops,2013,1,0,,,,,,,,,,,,1,4,1,0,0,0
Hesky Kutscher,CareDox,2010,0,0,,,,,,,,,,,,0,3,0,0,0,1
Robert Beaver,Zazzle,,0,0,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
Chris Bolte,Paysa,,0,0,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
Justin Zhu,Iterable,2013,0,0,Carnegie Mellon University,Carnegie Mellon University,Computer Science,Computer Science,BS,,,,,,,0,2,1,1,0,0
Prakash Nanduri,Paxata,2012,1,0,The University of Texas at Austin,University of Texas Austin,Computer Science,Computer Science,BS,1996,INSEAD,INSEAD,Business,Business,MBA,0,11,0,0,0,0
Ben Anderson,Amino Apps,2013,0,0,Northeastern University,Northeastern University,Music Industry,Music,BS,,,,,,,0,1,0,0,0,0
Laszlo Kishonti,AImotive,2015,1,0,Karinthy Frigyes Gimnazium,Karinthy Frigyes Gimnazium,English-Hungarian Dual Language Class,English,,1993,Budapest Business School,Budapest Business School,Economy,Economics,,0,11,0,0,0,0
Tyler Bosmeny,Clever,2012,0,0,Harvard University,Harvard University,Applied Mathematics,Mathematics,BA,,Harvard University,Harvard University,Statistics,Satistics,MA,0,4,0,0,0,0
Marc Worth,Stylus Media,2009,0,0,,,,,,,,,,,,0,0,0,0,0,0
John Payne,CircleUp,2006,6,0,UC Irvine,University of California Irvine,Economics,Economics,BA,,,,,,,0,5,NaN,NaN,NaN,NaN
Lance Smith,Primary Data,2014,0,0,Santa Clara University,Santa Clara University,"Digital Electronics, Physics",Physics,BE,,,,,,,0,27,1,0,0,1
Steve Nasiri,InvenSense,2003,0,0,UC Berkeley,University of California Berkeley,,,BS,,Santa Clara University,Santa Clara University,Business,Business,MBA,0,0,1,0,0,0
Dan Burkhart,Recurly,2010,0,0,Wharton School of Finance and Commerce,University of Pennsylvania,Finance,Business,BS,1996,UCLA Anderson School of Management,University of California Los Angeles,Business,Business,MBA,0,20,0,0,0,1
Michel Feaster,Usermind,2013,0,0,Harvard University,Harvard University,,,Drop,,,,,,,0,14,0,0,0,0
Stephan Heller,WATCHMASTER,2015,0,1,Universität Wien,Universität Wien,Digital Communication and Marketing,Business,BA,2009,ESCP Europe,ESCP Europe,International Management,Business,MS,0,4,1,0,0,1
Chris Ovitz,Workpop,2014,1,0,"University of California, Los Angeles",University of California Los Angeles,History,History,BA,,,,,,,1,3,0,0,0,1
Amitabh Sinha,Workspot,2012,2,0,Indian Institute of Technology Kanpur,Indian Institute of Technology Kanpur,Computer Science,Computer Science,BE,1990,,,,,,1,11,0,0,0,0
Nancy Hua,Apptimize,2013,0,0,MIT,Massachusetts Institute of Technology,Math and Computer Science,Computer Science,BS,,,,,,,0,5,0,0,0,0
Guru Pangal,CloudSimple,2016,3,0,Jawaharlal Nehru Technological University,Jawaharlal Nehru Technological University,Electronics and Communications,Electrical Engineering,BA,,Utah State University,Utah State University,Computer Science,Computer Science,MS,0,22,0,0,1,1
Oliver Roup,VigLink,2009,0,1,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Computer Science,Computer Science,BS,2007,Harvard Business School,Harvard University,Business,Business,MBA,0,10,0,0,1,0
Yuri Frayman,ZENEDGE,2014,4,0,Drexel University,Drexel University,Finance,Business,,,,,,,,0,0,1,0,0,0
"Jason Langheier, MD, MPH",Zipongo,2010,2,1,Williams College,Williams College,"Biology, Neuroscience",Cognitive Science,BA,2003,Duke University School of Medicine,Duke University,"Medicine, Bioinformatics, Neurobiology",Medicine,MD,0,13,0,0,0,0
Jonathan Mendez,Yieldbot,2010,3,1,University of Southern California,University of Southern California,,,,,,,,,,0,2,0,0,0,0
Ben Jacobs,Whistle,2012,0,1,Peking University,Peking University,,,,,Yale University,Yale University,East Asian Studies,Foreign Studies,MA,0,3,0,0,0,0
Rachel E. Haurwitz,Caribou Biosciences,,0,0,,,,,,,,,,,,1,0,0,0,0,0
David Yeom,Hollar,2015,0,1,"University of California, Riverside",University of California Riverside,Business Administration,Business,BA,2010,University of Southern California,University of Southern California,Business,Business,MBA,0,17,1,0,0,0
Guido Kovalskys,Nearpod,2012,4,0,University of Buenos Aires,University of Buenos Aires,Economics,Economics,,1996,"University of California, Berkeley, Haas School of Business",University of California Berkeley,Business,Business,MBA,1,6,0,0,0,0
Tasso Roumeliotis,Wave Market,,0,0,,,,,,,,,,,,0,5,0,0,0,0
Florian Douetteau,Dataiku,2013,0,0,Francs-Bourgeois,Francs-Bourgeois,,,,1999,Ecole normale supérieure,Ecole normale supérieure,Math and Computer Science,Computer Science,,0,11,0,0,0,0
Josh Reich,Simple Finance Technology,2009,0,1,University of Melbourne,University of Melbourne,Mathematics,Mathematics,BS,2004,Carnegie Mellon University - Tepper School of Business,Carnegie Mellon University,Business,Business,MBA,0,16,0,0,0,0
Mona Bijoor,"JOOR, Inc.",2010,0,0,University of Pennsylvania,University of Pennsylvania,Human Biology,Biology,BA,2003,University of Pennsylvania,University of Pennsylvania,Business,Business,MBA,0,9,0,0,0,0
Ian Crosby,Bench Accounting,2017,0,0,Carleton University,Carleton University,Criminology,Sociology,BA,2012,British Columbia Institute of Technology,British Columbia Institute of Technology,Technology Field Of StudyBroadcast and Online Journalism,Journalism,,0,3,0,0,0,0
Borja Rossell,Verse,2014,0,0,UPC - ETSETB TelecomBCN,Technical University of Catalonia,Telecommunication,Engineering,,,,,,,,0,0,0,0,0,0
Anmol Madan,Ginger.io,2011,1,0,University of Pune,University of Pune,EECS,Electrical Engineering,BE,2007,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Quantitative Models of Human Behavior,Sociology,PhD,1,2,1,0,1,0
Michael Simon,LogMeIn,2003,0,0,University of Notre Dame,University of Notre Dame,Electrical Engineering,Electrical Engineering,BS,,Washington University in St. Louis,Washington University in St. Louis,Business,Business,MBA,0,0,0,0,0,0
Chris Tolles,Topix,2007,1,0,The Chinese University of Hong Kong,Chinese University of Hong Kong,Chinese,Language,AA,,"University of California, San Diego",University of California San Diego,Computer Science,Computer Science,BA,0,5,0,0,0,0
Joshua Hoffman,Zymergen,2013,0,1,"University of California, Berkeley",University of California Berkeley,Social Sciences,Sociology,BA,1994,Yale University,Yale University,International Relations,International Relations,MA,0,17,0,0,0,0
Paul Doersch,Kespry Inc.,2013,0,0,Stanford University,Stanford University,Computer Science,Computer Science,BS,,,,,,,0,2,0,0,0,0
Matthew Bencke,Mighty AI,2014,0,0,Harvard University,Harvard University,International Relations,International Relations,BS,1997,"University of California, Berkeley",University of California Berkeley,Political Science,Political Science,PhD,1,17,0,0,1,0
David Gorodyansky,AnchorFree,2005,1,1,San Jose State School of Business,San Jose State University,International Marketing,Business,BS,,,,,,,0,1,0,0,0,0
Eben Frankenberg,Echodyne,2014,0,0,Dartmouth College,Dartmouth College,Geological and Earth Sciences/Geosciences GradeMagna Cum Laude and High Honors,Geology,BA,1988,Stanford University,Stanford University,Geophysics,Geophysics,MS,0,23,0,0,0,0
Kevin Busque,Guideline Technologies Inc.,2015,2,0,Fitchburg State University,Fitchburg State University,Computer Science,Computer Science,,,,,,,,0,12,0,0,0,0
Aashish Dalal,ParkWhiz,2007,2,1,Northwestern University,Northwestern University,,,BA,2001,DePaul University,DePaul University,,,MS,0,2,0,0,0,0
Prayag Narula,LeadGenius,2011,0,0,Netaji Subhas Institute of Technology,Netaji Subhas Institute of Technology,Information Technology,Computer Science,BE,2010,"University of California, Berkeley",University of California Berkeley,Information Systems,Computer Science,MS,1,2,0,0,0,0
Gary Beasley,DwellConnect,,0,0,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
Andre Durand,Ping Identity Corporation,2002,4,0,"University of California, Santa Barbara",University of California Santa Barbara,"Biology, Economics",Economics,BA,,,,,,,0,2,0,0,0,0
Ajay Prakash,Rinse,2013,0,1,Dartmouth College,Dartmouth College,Economics,Economics,BA,2008,Stanford University,Stanford University,Business,Business,MBA,0,5,0,0,0,0
Michael Yavonditte,Yieldmo,2012,0,0,,,,,,,,,,,,0,2,0,0,0,0
Alain Falys,Yoyo Wallet,2013,2,0,Middlesex University,Middlesex University,European Business Administration,Business,BA,,,,,,,0,9,0,0,0,0
Rodney Rogers,Virtustream,2009,0,1,University of Florida,University of Florida,Industrial & Systems Engineering,Operations Research,,,,,,,,0,7,0,0,0,0
Chuck Ganapathi,Tact,2012,0,1,PSG College of Technology,PSG College of Technology,Mechanical Engineering,Mechanical Engineering,BS,1997,Stanford University,Stanford University,Business,Business,MBA,1,13,0,0,0,0
Marcus Ryu,Guidewire Software,2001,0,1,Princeton University,Princeton University,,,BA,1995,University of Oxford,University of Oxford,,,BPhil,0,3,0,0,0,0
Brad Birnbaum,Kustomer,2015,0,0,Brandeis University,Brandeis University,Computer Science,Computer Science,,,,,,,,0,1,0,0,0,0
Shoaib Makani,KeepTruckin,2013,0,0,The London School of Economics and Political Science (LSE),London School of Economics,Government and Economics,Economics,BS,,,,,,,0,5,1,1,0,1
Roy Burstin,MiTu Network,,0,0,,,,,,,,,,,,0,6,1,0,0,1
Mark Johnson,Descartes Labs,2014,0,0,Stanford University,Stanford University,Philosophy,Philosophy,,,,,,,,0,11,1,0,1,0
Todd Sullivan,SpiritShop.com (ACQUIRED),2006,3,1,Yale University,Yale University,Political Science and International Studies,Political Science,BA,,University of Michigan,University of Michigan,Business,Business,MBA,1,0,0,0,0,0
Mike Xu,GrubMarket Inc,2014,0,0,Xiamen University,Xiamen University,Biochemistry and Computer Science,Computer Science,BS,2002,University of Wisconsin-Madison,University of Wisconsin Madison,Computer Science,Computer Science,MS,0,10,0,0,0,0
Carlos Garcia,HYP3R,2015,2,0,,,,,,,,,,,,0,0,0,0,0,0
David Blake,Degreed,2012,1,1,Brigham Young University,Brigham Young University,Economics,Economics,BA,,,,,,,0,3,0,0,0,0
Dan Lynch,Stromedix,2007,0,0,Wesleyan University,Wesleyan University,Mathematics,Mathematics,BA,1982,Darden Business School,Darden Business School,Business,Business,MBA,0,15,0,0,0,0
Geoff Schmidt,Meteor,2011,2,1,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,,Drop,,,,,,,0,0,0,0,0,0
Richard Rosenblatt,Whipclip / TV Time,2014,1,0,Brandeis University,Brandeis University,,,,,,,,,,0,0,0,0,0,0
Stephane Dubois,"Xignite, Inc.",2000,0,0,IMIP MBA Institute,Institut de Management International de Paris,International Management,Business,MS,1987,Massachusetts Institute of Technology - Sloan School of Management,Massachusetts Institute of Technology,"Operations Management, Finance",Opreations Research,MS,0,11,0,0,0,0
Carlos Diaz,Kwarter,2011,0,0,,,,,,,,,,,,0,0,0,0,0,0
Stephen McHale,Explorys,,0,0,,,,,,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
Eyal Waldman,Mellanox Technologies,,0,0,Technion - Israel Institute of Technology,Israel Institute of Technology,Electrical Engineering,Electrical Engineering,MS,,,,,,,0,6,0,0,0,0
Jen Andre,Komand,2015,1,0,Carnegie Mellon University,Carnegie Mellon University,Computer Science,Computer Science,Drop,,,,,,,0,10,0,0,0,1
Xander Oxman,Winc,2011,1,0,University of Colorado at Boulder,University of Colorado Boulder,Information Technology,Computer Science,BA,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
Noah Brier,Percolate,2010,0,0,New York University,New York University,Media & Culture,Media,BA,,,,,,,0,5,0,0,0,0
Ari Roisman,Glide,2012,2,0,Washington University in St. Louis,Washington University in St. Louis,Mechanical Engineering,Mechanical Engineering,BS,2006,Washington University in St. Louis,Washington University in St. Louis,"Energy, Environmental & Chemical Engineering",Engineering,MS,0,0,0,0,0,0
Per Pettersen,Impact Radius,2017,2,0,,,,,,,UCSB,University of California Santa Barbara,"COMP ENGR, Highest Honors Field Of StudyComputer Engineering, Digital Signal Processing",Computer Science,MS,0,0,0,0,0,0
Konrad Feldman,Quantcast,2006,0,0,"University College London, U. of London",UCL,Computer Science,Computer Science,BS,,,,,,,NaN,NaN,NaN,NaN,NaN,NaN
Oz Alon,HoneyBook,2013,0,0,The Interdisciplinary Center,The Interdisciplinary Center,Law and Business Administration,Business,BA,,,,,,,0,1,0,0,0,0
Siva Kumar,"TheFind, Inc.",2006,0,0,"Indian Institute of Technology, Madras",Indian Institute of Technology Madras,,,BS,1982,The University of Chicago Booth School of Business,University of Chicago,Business,Business,MBA,NaN,NaN,NaN,NaN,NaN,NaN
Clarence Chui,"Outward, Inc.",2012,0,1,University of Michigan,University of Michigan,Mechanical Engineering,Mechanical Engineering,BS,,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Mechanical Engineering,Mechanical Engineering,PhD,1,13,0,0,0,0
Kevin Merritt,Socrata,2007,1,0,Sierra College,Sierra College,Computer Science,Computer Science,BS,,,,,,,0,6,0,0,1,0
Danny Leffel,Crew,2015,3,0,Trinity University,Trinity University,,,,,,,,,,0,6,0,0,0,1
James Hind,Carwow,2009,0,0,University of Nottingham,University of Nottingham,Finance and Accounting,Business,,,,,,,,0,0,0,0,0,0
Neal Creighton,RatePoint,2007,1,0,United States Military Academy at West Point,United States Military Academy at West Point,,,BS,1994,Northwestern University - Kellogg School of Management,Northwestern University,Business,Business,MBA,0,0,0,0,0,0
Leigh Drogen,Estimize,2011,2,0,University of San Diego,University of San Diego,"Political Science, Economics",Political Science,AA,2006,Hunter College ,Hunter College ,"Political Science, Economics",Political Science,BA,1,4,1,0,0,0
Arijit Sengupta,BeyondCore,2004,0,0,Stanford University,Stanford University,Computer Science,Computer Science,BS,,Harvard Business School,Harvard University,Business,Business,MBA,0,5,1,0,1,0
Ash Ashutosh,Actifio,2009,2,0,Kakatiya Institute of Technology & Science,Kakatiya Institute of Technology & Science,Electronics and Instrumentation Engineering,Electrical Engineering,BE,1988,Penn State University,Penn State University,Computer Science,Computer Science,MS,0,12,0,0,0,0
Scott Voigt,Homebase.io,2013,1,1,Georgia Institute of Technology,Georgia Institute of Technology,Management,Business,BS,2002,University of Pennsylvania,University of Pennsylvania,Business,Business,MBA,0,5,0,0,0,0
Aleksandr Yampolskiy,SecurityScorecard Inc.,,0,0,,,,,,,,,,,,1,8,0,0,1,0
