NameCorp,AfterEmerging,Assets1Before,Assets2Before,Assets3Before,AssetsBefore,AssetsCurrDollar,AssetsEmerging,AssetsPetCurrDollar,AssetsPetition,BondISIN,BondPriceDisp,BondPriceFile,BondPriceMoveDuring,CaseNum,CaseNumRefile,CaseNumTransfer,CeoFiling,CeoNotes,CeoReplaced,Chapter,CikBefore,CikEmerging,CityChange,CityDisposed,CityFiled,CityRefile,ClaimsAgent,ClaimsAgentFirm,ClaimsSecDiscloState,ClaimsUnsec,CommCred,CommCredAtty,CommCredAttyCol,CommCredAttySubstit,CommEquity,CommEquityAtty,CommEquityAttyCol,CommEquityAttySubstit,CommRetirees,CommRetireesName,CommRetireesRequest,CommonName,CPIndexAtConf,CPIndexAtFiling,Cusip6,Cusip9,Date10k1Before,Date10k2Before,Date10k3Before,Date10kBefore,Date10kBeforeLink,Date10kDuring,Date10kDuringLink,Date10kEmerging,Date10kEmergLink,Date10kSalesEmerge,Date363Sale,DateCeoBegin,DateCeoEnd,DateCommCred,DateCommCredBy,DateConfirmed,DateConvDismiss,DateDipLoan1FinOrd,DateDiscloState,DateDisposed,DateEffective,DateEmerging,DateFeeRev,DateFiled,DateJudgeAppt,DateRefile,DateTransferred,DateTurnEngage,DaysDocsAfter,DaysFiledTo363,DaysEmergeToRefile,DaysIn,DENYOther,DipAtty,DipAttyColDoc,DipAttyColDkt,DipFinAdvPetition,DipLoan1Lender,DipLoan1Total,DipLoan2Lender,DipLoan2Total,DipLoanAdditional,DipLoanDoc,DipLoan,Disposition,DistFiled,DistribComments,DistribEquity,DistribSecDiscloState,DistribUnsec,DistribUnsecPct,DktNumConf,DktOnPacer,DocsOnPacer,DocsPublic,EbitBefore,EbitCurrDollars,EbitdaBefore,EbitdaEmerging,EbitEmerging,Emerge,Emerg10k,EmplBefore,EmplEmerging,EmplUnionBefore,EmplUnionEmerging,Examiner,ExaminerName,ExaminerRequest,FeeReviewer,FilingRate,FirmEnd,FreshStartAccounting,GdpDisp,GdpFiling,GdpRefiling,GdpYear1AftDisp,GdpYear1BefFile,GdpYear2AftDisp,GdpYear2BefFile,GvkeyBefore,GvkeyEmerging,HeadCAtFiling,HeadCityPctPop,HeadCityPop,HeadCourtCity,HeadCourtCityToDE,HeadStAtFiling,HqToForum,HqToHqCtCity,IncomeBEBefore,IncomeBEEmerging,IncPublic,InterCompanyClaims,InterCompanyPct,InterCompanyDistrib,JudgeApptDist,JudgeDisposition,JudgeFiling,Liab1Before,Liab2Before,Liab3Before,LiabBefore,LiabCurrDollar,LiabEmerging,LiabPetCurrDollar,LiabPetition,MonthDisp,MonthFiled,MonthRefile,MonthsIn,Multiple363Sales,NameEmerging,NetIncomeBefore,NetIncomeEmerging,NumberFiling,Prepackaged,PrimaryKey,Prime1YearAftDisp,Prime1YearBefFile,Prime2YearAftDisp,Prime2YearBefFile,PrimeDisp,PrimeFiling,PrimeRefiling,ProfFees10k,ProfFees10kNotes,Refile,Refile5,Refile5RepRange,RelatedFilings,Sale,Sale363,SaleConf,SaleIntended,Sales1Before,Sales2Before,Sales3Before,SalesBefore,SalesCurrDollar,SalesEmerging,Shop,SICDescription,SICDivision,SICIndustryGroup,SICMajGroup,SICPrimary,SubCon,TortCause,TransferCity,TransferDist,Transferred,Trustee,TrusteeFor,TrusteeName,TrusteeRequest,TrusteeRequestor,TurnFirm,TurnOffice,TurnPerson,TurnRepRange,TurnType,UsPopFiling,Voluntary,YearConfirmed,YearDisposed,YearEmerged,YearFiled,YearsEmergeToRefile
"JumboSports, Inc.",,467,,,467,717,,563,367,,,,,98-22545,,,Jack E. Bush,,Replaced,11,0000890093,,,Tampa,Tampa,,,,,,yes,Kronish Lieb,"Kronish, Lieb, Weiner & Hellman LLP",,no,,,,no,,,,172.8,163.9,481386,100,1/30/1998,,,1/30/1998,1/30/1998#http://edgar.sec.gov/Archives/edgar/data/890093/0001016843-98-000254-index.html#,1/29/1999,1/29/1999#http://edgar.sec.gov/Archives/edgar/data/890093/0000890093-99-000014-index.html#,,,,,12/16/1997,4/13/1999,1/13/1999,,8/18/2000,,,6/15/2000,8/18/2000,,,,12/27/1998,8/11/1989,,,,1179,,,600,OT,Stichter Riedel,,"Stichter, Riedel, Blain & Prosser, PA",,,,,,,yes,yes,confirmed,FL MD,,,,,,2201,yes,docs after date,no,-32.364,-49.67903619,-22.182,,,no,no,3500,,1,,no,,no,no,31,,,89.189,83.171,,89.76,79.223,91.79,75.927,025720,,Tampa,0.001043415,287826,FL Tampa,904,FL,1,1,-111.297,,FL,,,,FL MD,C. Timothy Corcoran III,,418,,,418,641.6338255,,537.2532032,350,8,12,,20,,liquidated,-111.297,,,free fall,672,6.75,8.5,4.75,8.25,9.5,7.75,,,No. No 10k for any years,,not emerged 5,yes,,no,no,no,no,528.634,624,526,528.634,811458028,,No,,G: Retail Trade,594 Miscellaneous Shopping Goods Stores,59 Miscellaneous Retail,5940,,Not tort,,,no,no,,,no,no,,,,,,275850000,voluntary,2000,2000,,1998,
"Just For Feet, Inc.",,689.396,448,376,689.396,1031,,1142,764.201,,,,,99-4110,,,Helen M. Rockey,End day is approximate,NoReplace,11,0000918111,,,Wilmington,Wilmington,,,,,,yes,Kronish Lieb,Kronish Lieb Weiner & Hellman LLP,,yes,,,,no,,,,,168.3,48213P,106,1/30/1999,,,1/30/1999,1/30/1999#http://edgar.sec.gov/Archives/edgar/data/918111/0000931763-99-001372-index.html#,,,,,,2/1/2000,8/1/1999,2/15/2000,11/19/1999,,,3/21/2000,12/3/1999,,3/21/2000,,,,11/4/1999,3/2/1992,,,,477,89,,138,DE,Weil Gotshal,,"Weil, Gotshal & Manges LLP / Richards, Layton & Finger PA",,,,,,,,yes,converted,DE,,,,,,,yes,docs after date,no,51.245,76.60503304,67.374,,,no,no,15000,,1,,no,,no,no,45,,,89.114,87.181,,90.009,83.171,91.327,79.223,029854,,Birmingham,0.000911468,254336,AL Birmingham,758,AL,758,1,26.648,,DE,,,,DE,Roderick R. McKelvie,Roderick R. McKelvie,364,,,364,544.1356625,,758.2485611,507.231,3,11,,4.6,,liquidated,26.648,,,prenegotiated,605,8,8,4.75,8.5,9,8.25,,,,,not emerged 5,yes,,yes,yes,no confirmation,no,774.863,479,256,774.863,1158325802,,Yes,Shoe Stores,G: Retail Trade,566 Shoe Stores,56 Apparel And Accessory Stores,5661,,Not tort,,,no,no,,,no,no,,,,,,279040000,voluntary,,2000,,1999,
JWP Inc.,Prosperous 2001,907.584,2233.827,1476,907.584,1566,707.498,1556,902,,,,,93-46404,,,Edward F. Kosnik,,Replaced,11,,0000105634,,New York,New York,,,,,,yes,Weil Gotshal,"Weil Gotshal & Manges/ Wachtell, Lipton, Rosen & Katz",,denied,,,,,,,,149.4,145.8,29084Q,100,12/31/1992,12/31/1991,12/31/1990,12/31/1992,,,,12/31/1995,12/31/1995#http://edgar.sec.gov/Archives/edgar/data/105634/0000950130-96-000829-index.html#,12/31/1995,,4/15/1992,4/19/1994,,,9/30/1994,,3/4/1994,8/9/1994,9/30/1994,12/15/1994,9/30/1994,,12/21/1993,11/10/1993,,,,,,,283,NY,Stroock Stroock,Stroock & Stroock & Lavan,,,,,,,,yes,yes,confirmed,NY SD,,,,,,525,yes-pdf,none,no,-168.271,-290.3632671,-99.278,14.805,5.893,yes,yes,14000,12000,11200,9000,no,,no,no,25,,yes,70.48,68.418,,72.193,66.623,75.107,63.869,006223,006223,Rye Brook,3.02785E-05,7870,NY White Plains,129,NY,21,6,-363.515,-10.853,DE,,,,NY SD,Jeffry H. Gallet,Jeffry H. Gallet (seven days after),1083.563,1777.691,,1083.563,1869.763018,626.368,,,9,12,,9.433333333,,"EMCOR Group, Inc.",-612.43,-10.853,1,free fall,47,8.75,6,8.25,7.5,7.75,6,,,,,emerged no refile 5,yes,Sub filed voluntary Chapter 7 on 10/93,no,no,no,,2404.577,2318,2058,2404.577,4149264186,1588.744,Yes,Electrical Work,C: Construction,173 Electrical Work,17 Construction Special Trade Contractors,1731,,Not tort,,,no,no,,,no,no,,,,,,259920000,involuntary,1994,1994,1994,1993,
Kaiser Aluminum Corp.,continuing as of 2/23/2010,2743.7,,,2743.7,3882,655.4,4670,3300,,,,,02-10429,,,Jack A. Hockema,,CEO still in office 12/4/2017,11,0000811596,0000811596,,Wilmington,Wilmington,,,,,,yes,Akin Gump,"Akin, Gump, Strauss, Hauer & Feld LLP / Ashby & Geddes",,no,,,,yes,Official Committee of Retired Salaried Employees,Proposed Official Committee of Retired Employees,,198.7,177.8,483007,704,12/31/2001,,,12/31/2001,12/31/2001#http://edgar.sec.gov/Archives/edgar/data/811596/000081159602000005/0000811596-02-000005-index.htm#,12/13/2002,12/13/2002#http://edgar.sec.gov/Archives/edgar/data/811596/000081159603000003/0000811596-03-000003-index.htm#,12/31/2006,12/31/2006#http://edgar.sec.gov/Archives/edgar/data/811596/000095012907001735/0000950129-07-001735-index.htm#,12/31/2007,,10/9/2001,9/9/9999,2/25/2002,,2/6/2006,,3/19/2002,9/7/2005,2/6/2006,7/6/2006,2/6/2006,6/20/2002,2/12/2002,10/30/1987,,,,,,,1455,DE,Jones Day,"Jones, Day, Reavis & Pogue / Richards, Layton & Finger, P.A.",,,,,,,,yes,yes,confirmed,DE,,,,,,8225,yes,yes,no,-98.7,-139.6610551,-8.5,114.7,99.4,yes,yes,6500,2425,,,no,,no,fee auditor,83,,yes,102.166,90.844,,103.432,89.422,105.101,87.409,024293,024293,Houston,0.006848496,1969833,TX Houston,1318,TX,1316,1,-459.4,3163.1,DE,,,,PA WD,Judith K. Fitzgerald,Judith K. Fitzgerald (8 days after),3066.3,,,3066.3,4338.831746,284.7,4386.517435,3100,2,2,,48.5,,Kaiser Aluminum Corporation,-459.4,3167.4,,free fall,247,8.25,8.5,6,8.75,7.5,4.75,,151.7,Yes,,emerged no refile 5,yes,,no,no,no,no,1732.7,,,1732.7,2451780245,1504.5,Yes,Primary Production of Aluminum,D: Manufacturing,333 Primary Smelting and Refining of Nonferrous Metals,33 Primary Metal Industries,3334,,Asbestos,,,no,no,,,no,no,,,,,,287630000,voluntary,2006,2006,2006,2002,
"Kaiser Group International, Inc.",,253.563,,,253.563,370,106.168,120,82.426,,,,,00-02263,,,James J. Maiwurm,,Replaced,11,0000856200,0000856200,,Wilmington,Wilmington,,,,,,yes,Sidley Austin,"Sidley & Austin / Young, Conaway, Stargatt & Taylor LLP",,no,,,,yes,Official Retirees Committee,Proposed Committee of Retirees,,174,172.4,483059,101,12/31/1999,,,12/31/1999,12/31/1999#http://edgar.sec.gov/Archives/edgar/data/856200/0000928385-00-001186-index.html#,,,12/31/2000,12/31/2000#http://edgar.sec.gov/Archives/edgar/data/856200/000092838501500206/0000928385-01-500206-index.htm#,12/31/2001,,4/19/1999,12/18/2000,6/29/2000,,12/5/2000,,,7/20/2000,12/5/2000,12/18/2000,12/5/2000,,6/9/2000,4/30/1998,,,,3885,,,179,DE,Squire Sanders,"Squire, Sanders & Dempsey LLP",,,,,,,,,no,confirmed,DE,,,,,,801,yes,docs after date,no,-12.828,-18.72024863,-7.559,3.386,1.691,yes,yes,3388,2742,1447,1416,no,,no,no,80,,yes,89.717,89.114,,90.074,84.568,91.821,80.691,019439,019439,Fairfax,7.61908E-05,21498,VA Alexandria,105,VA,115,14,-47.742,40.397,DE,,,,DE,Gregory M. Sleet,Gregory M. Sleet,321,,,321,468.4440139,18.668,214.3021914,146.85,12,6,,5.966666667,,"Kaiser Group Holdings, Inc.",-5.924,154.304,,prenegotiated,896,5,7.75,4.25,8.5,9.5,9.5,,4.827,Yes,,emerged no refile 5,yes,,no,no,no,no,870.267,1000,927,870.267,1270004258,0,Yes,Hazardous Waste Management,"E: Transportation, Communications, Electric, Gas",495 Sanitary Services,"49 Electric, Gas, And Sanitary Services",4955,,Not tort,,,no,no,,,no,no,,,,,,282160000,voluntary,2000,2000,2000,2000,
Kaiser Steel Corp.,"Changed name to Kaiser Resources, Kaiser Ventures",621.455,,,621.455,1401,76.489,1560,692,,,,,87-01552,,,Bruce H. Hendry,,Replaced,11,,0000729365,,Denver,Denver,,,,,,yes,,"Katch, Anderson & Wasserman",,no data in published sources,,,,,,,,119.8,111.6,48399Y,004,12/31/1986,12/31/1985,12/31/1984,12/31/1986,,,,12/31/1988,,12/31/1991,,1/8/1987,6/13/1988,,,9/23/1988,,,,9/23/1988,11/15/1988,9/23/1988,,2/11/1987,3/31/1986,,,,,,,590,OT,Sherman Howard,Sherman & Howard,,,,,,,,,,confirmed,CO,,,,,,2804,some,none,no,-19.4,-43.73483154,-6.62,,,yes,yes,984,,,,,,,no hits,8,,,60.41,56.935,,62.748,55.587,63.793,53.351,006322,023276,Colorado Springs,0.001078637,261343,CO Denver,1555,CO,66,70,-35.286,,DE,,,,CO,Charles E. Matheson,,609.892,,,609.892,1374.923911,32.437,,,9,2,,19.66666667,,"Kaiser Steel Resources, Inc.",-96.833,,12,free fall,225,10.5,9.5,10,10.5,10,7.5,,,,,emerged no refile 5,yes,,no data,no,no data,,166.913,,,166.913,376284120.5,8.8495,No,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling",D: Manufacturing,"331 Steel Works, Blast Furnaces, And Rolling And",33 Primary Metal Industries,3312,,Pension,,,no,no hits,,,,,,,,,,242290000,voluntary,1988,1988,1988,1987,
"Kash N Karry Food Stores, Inc.","Acquired by Food Lion, Inc.",389.9,423,399,389.9,655,373.572,,,,,,,94-01082,,,Anthony R. Petrillo,,Replaced,11,0000842913,0000842913,,Wilmington,Wilmington,,,,,,no,,,,no,,,,no,,,,149.7,149.7,48577P,106,7/31/1994,8/1/1993,8/2/1992,7/31/1994,7/31/1994#http://edgar.sec.gov/Archives/edgar/data/842913/0000842913-94-000010-index.html#,,,7/30/1995,7/30/1995#http://edgar.sec.gov/Archives/edgar/data/842913/0000945723-95-000022-index.html#,7/28/1996,,8/1/1994,1/15/1995,12/15/1994,,12/12/1994,,12/12/1994,9/2/1994,12/12/1994,12/29/1994,12/12/1994,,11/9/1994,5/21/1974,,,,,,,33,DE,Kramer Levin,"Kramer, Levin, Naftalis & Frankel",,,,,,,,,yes,confirmed,DE,,,,,,,yes,none,no,18.511,31.10985617,46.784,54.497,29.461,yes,yes,8400,9800,1,1,no,,no,no,11,,yes,71.263,71.263,,72.696,68.418,75.927,66.623,017765,017765,Tampa,0.00107689,283362,FL Tampa,904,FL,905,1,-37.895,-8.619,DE,,,,DE,Helen S. Balick,Helen S. Balick,446.297,442,406,446.297,750.0532374,323.934,,,12,11,,1.1,,Kash N' Karry Food Stores,-37.895,59.547,1,prepackaged,527,8.75,6,8.25,6,8.5,7.75,,1.52,Yes,,emerged no refile 5,yes,,yes,no,yes,no,1065.165,1086,1071,1065.165,1790131810,1021.667,Yes,Grocery Stores,G: Retail Trade,541 Grocery Stores,54 Food Stores,5411,,Not tort,,,no,no,,,no,no,,,,,,263130000,voluntary,1994,1994,1994,1994,
"Kasper A.S.L., Ltd.",Sold to Jones Apparel group,258.7,,,258.7,366,,437,308.761,,,,,02-10497,,,John D. Idol,Sale to Jones Apparel Group Inc. closed on 12/1/2003,NoReplace,11,0001037067,,,New York,New York,,,,,,yes,Anderson Kill,Anderson Kill & Olick PC,,yes,,,,no,,,,184.5,177.8,485808,109,12/29/2001,,,12/29/2001,12/29/2001#http://edgar.sec.gov/Archives/edgar/data/1037067/000090951802000266/0000909518-02-000266-index.htm#,12/28/2002,12/28/2002#http://edgar.sec.gov/Archives/edgar/data/1037067/000090951803000202/0000909518-03-000202-index.htm#,,,,,7/18/2001,12/1/2003,2/15/2002,neither,11/19/2003,,2/27/2002,10/14/2003,11/19/2003,12/1/2003,,,2/5/2002,10/4/2000,,,,,,,652,NY,Weil Gotshal,"Weil, Gotshal & Manges LLP",,,,,,,,yes,yes,confirmed,NY SD,,,,,,891,yes,yes,no,-32.938,-46.60745525,-19.868,,,no,no,1170,,250,,no,,no,no,83,,,95.371,90.844,,98.133,89.422,100.892,87.409,065126,,Secaucus,5.55158E-05,15968,NJ Newark,99,NJ,4,10,-75.67,,DE,,,,NY SD,Allan L. Gropper,Allan L. Gropper,241,,,241,341.0163555,,361.0485901,255.157,11,2,,21.73333333,,liquidated,-75.67,,6,prenegotiated,14,5,8.5,7,8.75,4,4.75,,,No. No 10k for 2003,,not emerged 5,yes,,yes,no,yes,no,368.593,,,368.593,521561168.1,,Yes,,D: Manufacturing,"233 Women's Misses', And Juniors' Outerwear",23 Apparel And Other Finished Products Made From Fabrics And Similar Materi,2330,,Not tort,,,no,no,,,no,no,,,,,,287630000,voluntary,2003,2003,,2002,
"KCS Energy, Inc.",Acquired by Petrohawk Energy on 7/12/2006.  New name Petrohawk Energy Corp.,284.932,,,284.932,425,346.726,,,,,,,00-00028,,,James W. Christmas,,Replaced,11,0000832820,0000832820,,Wilmington,Wilmington,,,,,,yes,Gibson Dunn,"Gibson, Dunn and Crutcher LLP",,no,,,,no,,,,175.1,168.8,482434,206,12/31/1999,,,12/31/1999,12/31/1999#http://edgar.sec.gov/Archives/edgar/data/832820/0000950129-00-001553-index.html#,,,12/31/2001,12/31/2001#http://edgar.sec.gov/Archives/edgar/data/832820/000095012902001664/0000950129-02-001664-index.htm#,12/31/2002,,1/1/1988,4/1/2003,2/18/2000,,1/30/2001,,,10/20/2000,1/30/2001,2/21/2001,1/30/2001,,1/5/2000,10/28/1993,,,,187,,,391,DE,Weil Gotshal,,"Weil, Gotshal & Manges LLP / The Bayard Firm",,,,,,,no,no,confirmed,DE,,,,,,884,yes,docs after date,no,46.229,68.902024,97.196,138.962,80.648,yes,yes,178,145,1,1,no,,no,no,80,,no information in 10-K,89.422,87.409,,90.844,83.912,92.204,79.972,014633,014633,Houston,0.006923841,1953631,TX Houston,1318,TX,1316,1,4.34,65.579,DE,,,,DE,Peter J. Walsh,Peter J. Walsh (20 days after),435,,,435,648.3458531,386.186,,,1,1,,13.03333333,,"KCS Energy, Inc.",4.34,65.579,,prenegotiated,128,4.75,7.75,4.25,8.5,9,8.5,,13.51,Yes,,emerged no refile 5,yes,,no,no,no,no,136.491,129,144,136.491,203433043.3,118.819,Yes,"Petroleum and Petroleum Products Wholesalers, Except Bulk Stations and Term",F: Wholesale Trade,517 Petroleum And Petroleum Products,51 Wholesale Trade-non-durable Goods,5172,,Not tort,,,no,no,,,no,no,,,,,,282160000,voluntary,2001,2001,2001,2000,
KDT Industries Inc.,Assets merged with Ames Dep't Stores coming out of bankruptcy,239.555,345.493,,239.555,617,,615,239,,,,,82-11453,,,"Robert D. Mandel, President",Begin date is end date of former Chairman/CEO,NoReplace,11,,,,New York,New York,,,,0,63,yes,,,,no,,,,,,,"King's Department Stores, Inc.",102.6,97.7,482455,102,1/30/1982,1/31/1981,2/2/1980,1/30/1982,,,,,,,,6/4/1982,7/29/1983,,,3/28/1984,,,,3/28/1984,,,,8/5/1982,9/1/1982,,,,,,,601,NY,Levin Weintraub,Levin & Weintraub & Crames,,,,,,,,,,confirmed,NY SD,,3164875,0,39.439,0.626015873,,none,none,no,-26.939,-69.37082018,-15.322,,,no,no,8000,,400,,no,,,no data,13,,,51.04,46.434,,53.351,47.731,55.587,45.724,006303,,Newton,0.000360075,83415,MA Boston,296,MA,182,11,-52.066,,DE,,,,NY SD,Prudence Carter Beatty,Prudence B. Abram,203.114,255.334,,203.114,523.040379,,,,3,8,,20.03333333,,liquidated,-52.066,,63,free fall,569,10.5,20.5,9,11,11.5,15,,,,,not emerged 5,yes,,yes,no,yes,,741.411,,,741.411,1909213006,,Yes,Department Stores,G: Retail Trade,531 Department Stores,53 General Merchandise Stores,5311,,Not tort,,,no,no,,,,,,,,,,231660000,voluntary,1984,1984,,1982,
"Kellstrom Industries, Inc.",acqired by Inverness Management LLC 5/2002,,573,,573,811,,525,371.249,,,,,02-10536,,,Zivi R. Nedivi,,Replaced,11,0000918275,,,Wilmington,Wilmington,,,,,,yes,Sonnenschein Nath,Sonnenschein Nath & Rosenthal / The Bayard Firm,,no,,,,no,,,,184.6,177.8,488035,106,,12/31/2000,,12/31/2000,12/31/2000#http://edgar.sec.gov/Archives/edgar/data/918275/000095014401004971/0000950144-01-004971-index.htm#,,,,,,6/13/2002,6/15/1995,7/17/2002,3/4/2002,,8/5/2003,,4/3/2002,5/1/2003,8/5/2003,9/5/2003,6/13/2002,,2/20/2002,9/9/1998,,,,,113,,531,DE,Saul Ewing,,Saul Ewing LLP,,,,,,,yes,yes,confirmed,DE,,,,,,890,yes,yes,no,32.4,45.84618223,57.329,,,yes,no,591,,1,,no,,no,no,83,,,94.516,90.844,,97.336,89.422,100.377,87.409,061242,,Miramar,0.000271936,78217,FL Fort Lauderdale,974,FL,990,19,-29.981,,DE,,,,DE,Mary F. Walrath,Mary F. Walrath (3 weeks after),,432,,432,611.2824297,,569.3982632,402.4,8,2,,17.7,,"Kellstrom Industries, Inc.",-31.33,,,free fall,538,4.25,8.5,6.25,8.75,4,4.75,,,No. No 10k for any years,,emerged no refile 5,yes,,yes,yes,,"yes, contract",,354,,354,500911991,,Yes,Aircraft Engines and Engine Parts,D: Manufacturing,372 Aircraft And Parts,37 Transportation Equipment,3724,,Not tort,,,no,no,,,no,no,,,,,,287630000,voluntary,2003,2003,2002,2002,
"Kenetech Corp. (Kenetech Windpower, Inc. only)",,401.249,517,417,401.249,645,,310,193.2,,,,,96-44426,,,Mark D. Lerdal,End date is Effective date of liquidating plan; CEO remained as CEO of Corp.,NoReplace,11,0000807708,,,Oakland,Oakland,,,,,,yes,Murphy Sheneman,Murphy Sheneman Julian & Rogers,,no,,,,no,,,Kenetech/Kenetech Windpower,164.3,156.6,488878,109,12/31/1995,12/31/1994,12/31/1993,12/31/1995,,,,,,,,4/15/1996,4/8/1999,6/10/1996,,1/27/1999,,,10/22/1998,1/27/1999,4/8/1999,,,5/29/1996,4/14/1988,,,,2248,,,973,OT,Stutman Treister,"Stutman, Treister & Glatt",,,,,,,,,no,confirmed,CA ND,,,,,,2302,yes,docs after date,no,-23.924,-38.43544899,-9.397,,,no,no,728,,,,no,,no,no,15,,,83.912,74.46,,87.409,71.591,89.422,70.029,028893,,San Francisco,0.002726582,734514,CA San Francisco,2514,CA,11,1,-250.148,,DE,,,,CA ND,Leslie J. Tchaikovsky,,406.808,,,406.808,653.5632893,,440.6806411,274.3,1,5,,32.43333333,,liquidated,-250.148,,,free fall,500,8.5,9,9,7.25,7.75,8.25,,,No. No 10k for 1999,,not emerged 5,yes,,no,no,no,maybe,327.589,338,236,327.589,526292856.5,,Yes,Electric Services,"E: Transportation, Communications, Electric, Gas",491 Electric Services,"49 Electric, Gas, And Sanitary Services",4911,,Not tort,,,no,no,,,no,no,,,,,,269390000,voluntary,1999,1999,,1996,
"Kevco, Inc.",,,292,332,292,418,,,,US492716AB19,1,17,-16,01-40783,,,"Frederick B . Hegi, Jr.",,NoReplace,11,0001021706,,,Fort Worth,Fort Worth,,,,,,yes,Baker McKenzie,Baker & McKenzie LLP,,no,,,,no,,,,181.3,175.8,492716,105,,12/31/1999,12/31/1998,12/31/1999,12/31/1999#http://www.sec.gov/Archives/edgar/data/1021706/0000950134-00-002834.txt#,,,,,,,7/26/1999,12/15/2002,2/13/2001,,11/21/2002,,,9/18/2002,11/21/2002,,,,2/5/2001,1/20/2000,,,,-80,,,654,OT,Haynes Boone,,"Haynes and Boone, LLP",,,,,,,no,no,confirmed,TX ND,,,,,,744,yes,docs after date,no,-1.871,-2.677594699,6.72,,,no,no,2238,,,,no,,no,no,97,,,91.821,89.422,,95.371,87.409,98.133,83.912,063920,,Fort Worth,0.001948784,555345,TX Fort Worth,1305,TX,1,1,-36.079,,TX,,,,TX ND,Barbara J. Houser,,,270,,270,386.3979522,,,,11,2,,21.8,,liquidated,-36.079,,8,free fall,254,4,8.75,5,7.75,4.25,8.5,,,No. No 10k for any years,,not emerged 5,yes,,no,no,no,no,,840,897,840,1202126962,,No,,D: Manufacturing,344 Fabricated Structural Metal Products,"34 Fabricated Metal Products, Except Machinery and Transportation Equipment",3440,,Not tort,,,no,no,,,no,no,,,,,,284970000,voluntary,2002,2002,,2001,
"Key Energy Services, Inc.",,1327.798,,,1327.798,1382,657.981,1176,1129.777,,,,,16-12306,,,Robert Drummond,,CEO still in office 12/4/2017,11,0000318996,0000318996,,Wilmington,Wilmington,,yes,"Epiq Bankruptcy Solutions, LLC",,,no,,,,no,,,,no,,,,241.432,241.729,492914,106,12/31/2015,,,12/31/2015,12/31/2015#https://www.sec.gov/Archives/edgar/data/318996/000031899616000031/0000318996-16-000031-index.htm#,,,12/31/2016,12/31/2016#https://www.sec.gov/Archives/edgar/data/318996/000031899617000005/0000318996-17-000005-index.htm#,,,3/5/2016,9/9/9999,,,12/6/2016,,,9/21/2016,12/6/2016,12/15/2016,12/6/2016,,10/24/2016,3/13/2006,,,,,,,43,DE,Sidley Austin,Sidley Austin LLP,,,,,,,,no,no,confirmed,DE,,,,,,245,yes,yes,yes,-273.613,-284.7723999,-92.712,-74.264,-209.738,yes,yes,4300,3225,,,,,,pending,43,,,116.872,116.872,,119.889,114.765,,112.262,011644,011644,Houston,0.006950881,2197374,TX Houston,1318,TX,1316,1,-917.701,-141.98,MD,,,,DE,Brendan L. Shannon,Brendan L. Shannon,1187.508,,,1187.508,1235.94092,415.364,1209.563257,1162.164,12,10,,1.433333333,,"Key Energy Services, Inc.",-917.701,-141.98,4,prepackaged,1086,4.25,3.25,,3.25,3.5,3.5,,,,,not emerged 5,no,,yes,no,yes,no,792.326,,,792.326,824641287.1,,Yes,"Oil and Gas Field Services, Not Elsewhere Classified",B: Mining,138 Oil And Gas Field Services,13 Oil And Gas Extraction,1389,,Not tort,,,no,,,,,,,,,,,316128839,voluntary,2016,2016,2016,2016,
Key Plastics L.L.C.,"Acquired by Carlyle Group at confirmation, but operated independently. CG was acquired by EMG",,388,283,388,570,,486,331,,,,,00-44478,08-13324,,David C. Benoit,,Replaced,11,0001061499,,,Detroit,Detroit,Wilmington,,,,,yes,Wachtell Lipton,"Wachtell, Lipton Rosen & Katz",,no,,,,no,,,,176.9,171.2,49313Q,,,12/31/1998,,12/31/1998,12/31/1998#http://edgar.sec.gov/Archives/edgar/data/1061499/0000950124-99-002385-index.html#,,,,,,,6/5/1995,4/26/2001,3/29/2000,,4/1/2001,,4/10/2000,3/16/2001,4/1/2001,4/26/2001,4/1/2001,,3/23/2000,3/22/1985,12/15/2008,,,1631,,2815,374,OT,Holland Knight,Holland & Knight,,,,,,,,,yes,confirmed,MI ED,,,,,,1043,yes,docs after date,no,29.438,43.26079173,,,,yes,no,5000,,1100,,no,,no,no,80,,,90.009,87.409,102.064,91.327,83.912,92.986,79.972,999999,,Novi,0.00016794,47386,MI Detroit,435,MI,21,29,,,MI,,,,MI ED,Steven W. Rhodes,,,397,,397,583.4137617,,518.7532944,353,4,3,12,12.46666667,,Key Plastics L.L.C.,,,,free fall,332,4.75,7.75,4.25,8.5,8,9,4,,No. No 10k for any years,Refiled,emerged no refile 5,yes,,yes,no,yes,no,,372,306,372,546674859.8,,No,Motor Vehicle Parts and Accessories,D: Manufacturing,371 Motor Vehicles and Equipment,37 Transportation Equipment,3714,,Not tort,,,no,no,,,no,no,,,,,,282160000,voluntary,2001,2001,2001,2000,7.712328
