label,documents,class
commercial banks,Notice 634 Banking Secrecy - Conditions for Outsourcing,banking
commercial banks,Notice 636 Negotiable Certificates of Deposit,banking
commercial banks,Notice 755 Weekly Report on S$ Transactions,banking
commercial banks,Notice 607 Publication of Financial Statements,banking
commercial banks,Notice 619 S$ Negotiable Certificates of Deposit [Cancelled with effect from 1 Mar 2004],banking
commercial banks,Notice 618 Authorised Depositories [Cancelled with effect from 1 Mar 2004],banking
commercial banks,Notice 616 Sales of Coins or Medals,banking
commercial banks,Notice 615 Appointment of Auditors,banking
commercial banks,Notice 704 Minimum Cash Balance - Liabilities Base,banking
commercial banks,Notice 631 Meaning of Customer under Section 40A,banking
commercial banks,Notice 627 Capital Treatment for Credit Derivatives,banking
commercial banks,712 Government Securities Book-Entry System - Terms and Conditions on the Operation of the Securities and Cash Statement Accounts and Manual Back-up System,banking
commercial banks,Notice 756 Deposit and Lending Rates,banking
commercial banks,Notice 750 Standardisation of Commercial Bills of Exchange,banking
commercial banks,Notice 754 Exchange Control Liberalisation,banking
companies,Companies Act 1993,companies
companies,New Zealand Business Number,companies
companies,Co-Operative Companies Act 1996,companies
companies,Energy Companies Act 1992,companies
companies,Trustee Companies Act 1967,companies
companies,Trustee Companies Management Act 1975,companies
companies,Building Societies Act 1965,companies
companies,Limited Partnerships Act 2008,companies
companies,Partnership Act 1908,companies
companies,Insolvency Act 2006,companies
companies,Receiverships Act 1993,companies
companies,Insolvency Cross-Border Act 2006,companies
companies,Administration Act 1969,companies
companies,Trustee Act 1956,companies
companies,Community Trusts Act 1999,companies
companies,Public Trust Act 2001,companies
companies,Friendly Societies and Credit Unions Act 1982,companies
companies,Industrial and Provident Societies Act 1908,companies
companies,Incorporated Societies Act 1908,companies
companies,"Companies Act, (Chapter 386 of the laws of Malta)",companies
companies,Companies Act (The Prospectus) Regulations (S.L. 386.11),companies
companies,Companies Act (Investment Companies with Variable Share Capital) Regulations (S.L. 386.02),companies
companies,Companies Act (Investment Companies with Variable Share Capital as Retirement Schemes or Retirement Funds (S.L. 386.09),companies
companies,Companies Act (Investment Companies with Fixed Share Capital) Regulations (S.L. 386.04),companies
companies,Companies Act (Cell Companies Carrying on Business of Insurance) Regulations (S.L. 386.10),companies
companies,Companies Act (Incorporated Cell Companies Carrying on Business of Insurance) Regulations (S.L. 386.13),companies
companies,Companies Act (SICAV Incorporated Cell Companies) Regulations (S.L. 386.14),companies
companies,Companies Act (Recognised Incorporated Cell Companies) Regulations (S.L. 386.15),companies
companies,Securitisation Cell Companies Regulations (S.L. 386.16),companies
companies,Companies Act (Fees) Regulations (S.L. 386.03),companies
companies,Companies Act (Forms) Regulations (S.L. 386.01),companies
companies,Transfer of Registered Office of a European Company (SE) Regulations (S.L. 386.17),companies
companies,Companies Act (System of Interconnection of Registers) Regulations (S.L. 386.18),companies
companies,Continuation of Companies Regulations (S.L. 386.05),companies
companies,Cross-Border Mergers of Limited Liability Companies Regulations (S.L. 386.12),companies
companies,Company Services Provider Act (Chapter 529 of the laws of Malta),companies
companies,Company Services Provider Act (Fees) Regulations (S.L. 529.01),companies
companies,Partnership Act (389/1988),companies
companies,Limited Liability Companies Act (624/2006),companies
companies,Act on Co-Operation in Undertakings (334/2007),companies
companies,Act on Co-Operation in Finnish and Community-wide Groups of Undertakings (335/2007),companies
companies,Co-Operatives Act (1448/2001),companies
companies,Act on Personnel Representation in the Administration of Undertakings (725/1990),companies
companies,Act on the Operations of a Foreign Management Company (225/2004),companies
companies,Forms of Companies,companies
companies,Act on the monitoring of foreigners' corporate acquisitions in Finland (1612/1992),companies
companies,Standard RA1.2 Acquisition of Controlling Interest in Undertakings Authorised in Non-EEA States,companies
companies,Cap. 622 Companies Ordinance,companies
companies regulation ,"Companies Regulation 2012, PURSUANT TO SECTIONS 16, 585 AND
609 OF THE COMPANIES AND ALLIED
MATTERS ACT, LFN 2004",companies
company holdings,Application to be Approved as Financial Holding Company Pursuant to Sections 280(2) and 280(3) of the Financial Services Act 2013 and Section 290(1) of the Islamic Financial Services Act 2013,companies
crowdfunding,Information Sheet: Crowdfunding services for property investment,funds
crowdfunding,Standard Conditions for Crowdfunding Service Licences,funds
crowdfunding,Part B - Crowdfunding Guidelines,funds
crowdfunding,Crowdfunding Act (734/2016),funds
crowdfunding,Decree on the Content and Structure of the Crowdfunding Recipient's Disclosure Obligation (1045/2016),funds
debt securities,Change in terminology Private Debt Securities to Corporate Bond and/or Sukuk,securities
debt securities,Regulation on issuance of debt securities,securities
deposit guarantee fund ,REGULATION CONCERNING OPERATIONS OF THE DEPOSIT GUARANTEE FUND FOR BANKS AND MICROFINANCE INSTITUTIONS,funds
deposit guarantee fund ,Deposit Guarantee Fund,funds
deposit insurance,KENYA DEPOSIT INSURANCE ACT 2012,insurance
deposit insurance,Deposit Insurance Act,insurance
deposit insurance,NIGERIA DEPOSIT INSURANCE CORPORATION ACT ARRANGEMENT OF SECTIONS,insurance
directory of banks and fis,Directory of Banks and Financial Institutions Operating in Tanzania,banking
electronic payment,The Act Governing Electronic Payment Institutions,payment
electronic payment ,Royal Decree Regulating on Electronic Payment Services,payment
electronic payment (sfi),Royal Decree Regulating on Electronic Payment Services of the Specialised financial institution,payment
equity crowdfunding regulation,Taipei Exchange Regulations Governing the Conduct of Equity Crowdfunding by Securities Firms,funds
exchange traded funds,"The Capital Markets Exchange Traded Funds Guidelines, 2016",funds
exchange traded funds,POLICY GUIDANCE NOTE FOR EXCHANGE TRADED FUNDS IN KENYA.pdf,funds
exchange traded funds,"The Capital Markets Exchange Traded Funds Guidelines, 2015",funds
exchange-traded funds,Guidelines on Exchange-Traded Funds (pdf),funds
finance companies,Finance Companies Act (CHAPTER 108),companies
finance companies,Circular SRD TR 012016 MAS Circular Cancellation 2016,companies
finance companies,SRD TR 02/2014 IT Security Risks Posed By Personal Mobile Devices,companies
finance companies,Borrowers Who are Individuals and Who Own Residential Property Gazetted for Acquisition (August 2014),companies
finance companies,SRD TR 01/2014 System Vulnerability Assessments and Penetration Testing,companies
finance companies,Borrowers Who are Individuals and Who Own Residential Property Gazetted for Acquisition (Amended from Circular dated 22 July 2013),companies
finance companies,SRD TR 02/2013: MAS Circular (Cancellation) 2013,companies
finance companies,SRD 01/2006 - Further Guidance on Business Continuity Management,companies
finance companies,BD Cir 04/2005 - Central Provident Fund Board's Measures to Address Cashback Transactions for Resale HDB Flats,companies
finance companies,BD Cir 14/2004 - Cash Rebates Offered for Housing Loans,companies
finance companies,RMD 27/2004 - MAS Notice 816 Lending of Singapore Dollar to Non-Resident Financial Institutions,companies
finance companies,BD 6/2003 - Lifting of Limits on Car Loans,companies
finance companies,FSG 16/2000:MAS Notice 806 - Minimum Cash Balances and Minimum Liquid Assets,companies
finance companies,FSG 151999 MAS Circular to Finance Companies on MAS Notice 806 Maintenance of Minimum Liquid Assets,companies
finance companies,MAS Circular to Finance Companies on MAS Notice 806:Minimum Cash Balances and Minimum Liquid Assets,companies
finance companies,"Guidelines on the Application of Total Debt Servicing Ratio for Property Loans under MAS Notices 645, 1115, 831 and 128",companies
finance companies,Guidelines on Standards of Conduct for Marketing and Distribution Activities,companies
finance companies,Guidelines to MAS Notice 824 on Prevention of Money Laundering and Countering the Financing of Terrorism - Finance Companies,companies
finance companies,Guidelines on Fit and Proper Criteria [Guideline No. FSG-G01],companies
finance companies,Guidelines to MAS Notice 824,companies
finance companies,Notice 827 Unsecured Credit Facilities to Individuals,companies
finance companies,Notice 825 Residential Property Loans,companies
finance companies,Notice 831 Computation of Total Debt Servicing Ratio For Property Loans,companies
finance companies,MAS Notice 825A (Amendment) 2016,companies
finance companies,MAS Notice 829 (Amendment) 2016,companies
finance companies,MAS Notice 824 (Amendment) 2015,companies
finance companies,MAS Notice 824 on Prevention of Money Laundering and Countering the Financing of Terrorism - Finance Companies,companies
finance companies,Notice 833 Additional Duties of the Auditors and Information to be Submitted with Annual Accounts,companies
finance companies,Notice 824 Prevention of Money Laundering and Countering the Financing of Terrorism,companies
finance companies,Notice 832 Notice on Risk Based Capital Adequacy Requirements for Finance Companies Incorporated in Singapore,companies
finance companies,Notice 826 Bridging Loans for the Purchase of Immovable Properties,companies
finance companies,Notice 830 Technology Risk Management,companies
finance companies,Notice 829 Motor Vehicle Loans,companies
finance companies,Notice 819 Control of Advertisements [Cancelled with effect from 1 March 2013],companies
finance companies,Notice 828 Reporting of Suspicious Activities&nbsp;&amp; Incidents of Fraud,companies
finance companies,Notice 825A Residential Property Loans - Fact Sheet,companies
finance companies,"Notice 805 Credit Facilities to Directors, Employees, Related and Associated Companies",companies
finance companies,Notice 818 Change in Capital and Shareholders,companies
finance companies,Notice 817 Appointment of Directors and Chief Executives,companies
finance companies,Notice 813 Immovable Properties!,companies
finance companies,Notice 801 Appointment of Auditors,companies
finance companies,"Notice 822 Power of the Authority to Secure Compliance with Sections 23, 26, 27 and 31",companies
finance companies,Notice 804 Submission of Statistics,companies
finance companies,Notice 807 Licence Fees,companies
finance companies,Notice 820 Credit Facilities to a Single Borrower or Group of Borrowers,companies
finance companies,Notice 821 Finance Companies' Acquisition of Shares in Companies,companies
finance companies,Notice 809 Revaluation of Assets dated 1 Nov 1973 [Cancelled with effect from 14 Mar 2005],companies
finance companies,Notice 811 Credit Files and Classification of Loans,companies
finance companies,Notice 814 Provision For and Writing Off of Bad Debts,companies
finance companies,Notice 803 Publication of Financial Statements,companies
finance companies,Notice 816 Lending of Singapore Dollar to Non-Resident Financial Institutions,companies
finance companies,Notice 823 Dealing in Government Securities,companies
finance companies,Notice 806 Minimum Cash Balances and Minimum Liquid Assets,companies
finance companies,Notice 812 Financing of Trade and Inventory,companies
finance companies,Notice 808 Disclosure of Directors' Interests,companies
finance companies,Notice 802 Branches and Automated Teller Machines,companies
finance companies,Notice 808 Disclosure of Directors' Interests,companies
finance companies,Notice 801 Appointment of Auditors,companies
finance companies,Notice 815 Submission of Annual Accounts,companies
finance companies,Notice 810 Take-Over and Merger,companies
finance companies ,https://www.cbn.gov.ng/out/2014/ccd/revised%20guidelines%20for%20finance%20companies%20in%20nigeria.pdf,companies
fixed income securities,Regulation on issuance of regional fixed income securities,securities
foreign company issuers,Capital Markets and Securities (Foreign Companies Public Offers Eligibility and Cross Listing Requirements) Regulations 2003,companies
foreign company issuers,"Capital Markets and Securities Authority (Foreign Companies Public Offers Eligibility and Cross Listing Requirments) Amendment, 2005",companies
fund management,Guidelines on Compliance Function for Fund Management Companies (pdf),funds
fund management,"The Capital Markets (Fund Managers) Regulations, (SI No. 42 of 2004)",funds
funds,Guidance Notes on the Fitness and Properness Standards for AIFMs of Notified AIFMs,funds
funds,Recognised Private Collective Investment Schemes,funds
funds,Recognised Incorporated Cell Company,funds
funds,Application for Recognition as Recognised Fund Administrator - Personal Questionnaire,funds
funds,Application for Recognition to act as a Recognised Incorporated Cell Company,funds
funds,Ongoing Requirement for Recognised Fund Administrators,funds
funds,Ongoing Requirements for Private Collective Investment Schemes,funds
funds,Ongoing Recognition Requirements for Recognised Incorporated Cell Companies,funds
funds,Glossary,funds
funds,Application Process for Alternative Investment Funds,funds
funds,Schedule 1 - Application to operate as an Alternative Investment Fund,funds
funds,Schedule 2 - Personal Questionnaire (applicaiton to operate as an Alternative Investment Fund),funds
funds,Schedule 3 - Competency Form (applicaiton to operate as an Alternative Investment Fund),funds
funds,Schedule 4 - Notification letter for the marketing of units or shares of EU AIFs in EU (applicaiton to operate as an Alternative Investment Fund),funds
funds,Standard Licence Conditions Applicable to Alternative Investment Funds,funds
funds,Appendix 1 - Suppleementary Licence Conditions applicable to Alternative Investment Funds adopting different structures,funds
funds,Appendix 2 - Distributions of Income,funds
funds,Appendix 3 - Contents of Constitutional Document,funds
funds,Appendix 4 - Contents of the Offering Document,funds
funds,Appendix 7 - Remuneration Policy,funds
funds,AIFM - Specific Information to be reported under Article 3(3) and 24(1) AIFMD,funds
funds,AIF - Specific Information to be reported under Article 3(3) and 24(1) AIFMD,funds
funds,AIF - Specific Information to be reported under Article 24(2) AIFMD,funds
funds,AIF - Specific Information to be reported under Article 24(4) AIFMD,funds
funds,Appendix 9 - Declaration Forms,funds
funds,Appendix 10 - Complaints Handlings,funds
funds,Standard Licence Conditions applicable to Collective Investment Schemes authorised to invest through loans,funds
funds,FAQs on Standard Licence Conditions applicable to Collective Investment Schemes authorised to invest through loans,funds
funds,Glossary to Investment Services Rules for Alternative Investment Funds,funds
funds,Application Process - Retail Collective Investment Schemes,funds
funds,Schedule A - Application for licence to operate as a Malta based Retail Collective Investment Scheme,funds
funds,Schedule B - Application for licence to operate as Overseas based Retil Collective Investment Scheme,funds
funds,Schedule C - Model Notification Letter by Maltese UCITS Scheme wishing to market its unit in a host Member State,funds
funds,Schedule D - National Rules for Marketin of European UCITS Scheme in Malta,funds
funds,Schedule E - Personal Questionnaire,funds
funds,Malta Based Retail Non-UCITS Collective Investment Schemes,funds
funds,Malta Based Retail UCITS Collective Investment Schemes,funds
funds,Appendix I - Contents of the Prospectus,funds
funds,Appendix II - Contents of the Financial Instruments,funds
funds,Appendix III - Contents of the Constitutional Documents,funds
funds,Appendix IV - Distribution of Income,funds
funds,"Appendix VI - Supplementary Licence Conditions on Risk Management, Counterparty Risk Exposure and Issuer Concentration ",funds
funds,Appendix VII - Supplementary Licence Conditions Applicable to Schemes set up as Money Market Funds,funds
funds,Appendix VIII - Supplementary Conditions Applicable to Self-Managed Schemes,funds
funds,Appendix IX - AIF Specific Information to be provided,funds
funds,Appendix X - Complaints Handling,funds
funds,Glossary to Investment Services Rules applicable to Retail Collective Investment Schemes,funds
funds,Application Process - Professional Investor Funds,funds
funds,Schedule A - Application for licence to operate as a Malta based Retail Collective Investment Scheme,funds
funds,Schedule B - Application fora Preliminary Indication of Acceptability of a Professional Investor Fund,funds
funds,Schedule C - Personal Questionnaire,funds
funds,Schedule D - Competency Form,funds
funds,I - Professional Investor Funds Targeting Experienced Investors,funds
funds,II - Professional Investor Funds Targeting Qualified Investors,funds
funds,III - Professional Investor Funds Targeting Extraordinary Investors,funds
funds,Appendix I - Supplementary Licence Conditions,funds
funds,Annex 1 - AIFM - Specific Information under Article 3 (3) AIFMD,funds
funds,Annex 2 - AIFM - Specific Information under Article 3 (3) AIFMD,funds
funds,Appendix II - Contents of the Offering Document,funds
funds,Appendix III - Declaration Forms,funds
funds,Appendix VI - Guidance ofr AIFMs managing PIFs,funds
funds,Glossary to Investment Services Rules for Professional Investor Funds,funds
funds,Regulation on the supervision of pension funds,funds
funds,Regarding prudential requirements and capital buffers,funds
funds,Regarding the operations of foreign management companies and foreign collective investment undertakings in Sweden,funds
holding companies,GUIDELINE NON OPERATING HOLDING COMPANIES,companies
insurance,Guidelines on Ibra' (Rebate) for Sale-Based Financing * Same guideline applies to Insurance & Takaful and Development Financial Institutions,insurance
insurance,Insurance Act 1996,insurance
insurance,Insurance Act (CHAPTER 142),insurance
insurance,Insurance (Appointment of Officers to Exercise Powers to Grant Exemption) Notification 2015,insurance
insurance,Insurance (Appointment of Officers to Exercise Power to Grant Exemption) Notification 2014,insurance
insurance,Insurance (Remuneration) (Amendment) Regulations 2017,insurance
insurance,Insurance (Accounts and Statements) (Amendment) Regulations 2016,insurance
insurance,"Insurance (Approved Marine, Aviation and Transit Insurers) (Amendment) Regulations 2016",insurance
insurance,Insurance (Remuneration) Regulations 2015,insurance
insurance,Insurance (Web Aggregator Fees) Regulations 2015,insurance
insurance,Insurance (Intermediaries) Regulations,insurance
insurance,Insurance (Actuaries) Regulations 2013,insurance
insurance,Insurance (General Provisions and Exemptions for Captive Insurers) Regulations 2004,insurance
insurance,"Insurance (Approved Marine, Aviation and Transit Insurers) Regulations",insurance
insurance,Insurance (Lloyd’s Asia Scheme) Regulations,insurance
insurance,Insurance (General Provisions and Exemptions for Marine Mutual Insurers) Regulations 2007,insurance
insurance,Insurance (Valuation and Capital) Regulations 2004,insurance
insurance,Insurance (Lloyd's Scheme) Regulations,insurance
insurance,Insurance (General Provisions) Regulations,insurance
insurance,Insurance (Financial Guarantee Insurance) Regulations,insurance
insurance,Insurance (Authorised Reinsurers) Regulations,insurance
insurance,Insurance (Corporate Governance) Regulations 2013,insurance
insurance,Insurance (Exemption from Annual Fees) Notification 2012,insurance
insurance,Insurance (Exemption from Annual Fees) (No. 2) Notification 2011,insurance
insurance,Insurance (Exemption from Annual Fees) Notification 2011,insurance
insurance,Insurance (Nomination of Beneficiaries) Regulations 2009,insurance
insurance,Insurance (Accounts and Statements) Regulations 2004,insurance
insurance,Insurance (Exemption from Annual Fees) Notification 2009,insurance
insurance,Insurance (Exemption from Annual Fees) Notification 2008,insurance
insurance,Insurance (General Provisions and Exemptions for Special Purpose Reinsurance Vehicles) Regulations 2008,insurance
insurance,Insurance (Exemption from Annual Fees) Notification 2007,insurance
insurance,Insurance (Exemption from Annual Fees) (No. 2) Notification 2006,insurance
insurance,Insurance (Exemption from Annual Fees) Notification 2006,insurance
insurance,Insurance (Exemption from Deadlines for Submission of Returns) Regulations 2006,insurance
insurance,Insurance (Exemption from Annual Fees) (No. 3) Notification 2005,insurance
insurance,Insurance (Exemption from Annual Fees) (No. 2) Notification 2005,insurance
insurance,Insurance (Appeals) Regulations 2005,insurance
insurance,Insurance (Exemption from Annual Fees) Notification 2005,insurance
insurance,Insurance (Exemption from Annual Fees) (No. 2) Notification 2004,insurance
insurance,"Insurance (Approved Marine, Aviation and Transit Insurance Brokers and Approved Reinsurance Brokers) Regulations",insurance
insurance,Insurance (Transitional and Savings Provisions) Regulations 2004,insurance
insurance,Insurance (Exemption from Annual Fees) Notification 2004,insurance
insurance,Insurance (Exemption) Regulations,insurance
insurance,Insurance (Exemption from Annual Fees) Notification 2003,insurance
insurance,Insurance (Transitional and Savings Provisions) Regulations 2003,insurance
insurance,Guidance on Insurers' Own Risk and Solvency Assessments,insurance
insurance,ID 01/17 Guidelines on the Online Distribution of Life Policies with No Advice,insurance
insurance,"Guidelines on the Application of Total Debt Servicing Ratio for Property Loans under MAS Notices 645, 1115, 831 and 128",insurance
insurance,Guidelines on Standards of Conduct for Marketing and Distribution Activities [Guideline No. FSG-G02],insurance
insurance,Guidelines on Standards of Conduct for Marketing and Distribution Activities,insurance
insurance,Guidelines to MAS Notice 314 Notice on Prevention of Money Laundering and Countering the Financing of Terrorism – Life Insurers,insurance
insurance,Guidelines on Fit and Proper Criteria [Guideline No. FSG-G01],insurance
insurance,Guidelines to MAS Notice 314 on Prevention of Money Laundering and Countering the Financing of Terrorism [Cancelled with effect from 30 Nov 2015],insurance
insurance,FSG-G01 Guidelines on Fit and Proper Criteria,insurance
insurance,IA/II-G04 Criteria for the Registration of an Insurance Broker,insurance
insurance,"Guidelines on Corporate Governance for Financial Holding Companies, Banks, Direct Insurers, Reinsurers and Captive Insurers which are Incorporated in Singapore",insurance
insurance,ID 01/13 Guidelines on Use of Internal Models for Liability and Capital Requirements for Life Insurance Products Containing Investment Guarantees with Non-Linear Payouts,insurance
insurance,Guidelines for Financial Institutions to Safeguard the Integrity of Singapore's Financial System,insurance
insurance,"Guidelines on Corporate Governance for Banks, Financial Holding Companies and Direct Insurers which are Incorporated in Singapore [Cancelled with effect from 3 Apr 2013]",insurance
insurance,Guidelines on MAS Notice 314 on Prevention of Money Laundering and Countering the Financing of Terrorism (December 2009) [Cancelled with effect from 01 Jul 2014],insurance
insurance,ID 1/09 Guidelines on Implementation of Insurance Fund Concept,insurance
insurance,ID 1/04 Valuation of Policy Liabilities of General Business,insurance
insurance,ID 1/03 Market Conduct Standards and Service Standards for Direct General Insurers,insurance
insurance,ID 1/05 Corporate Governace [Cancelled with effect from 9 Dec 2010],insurance
insurance,IA/II-G02 Market Conduct and Service Standards for Insurance Brokers,insurance
insurance,IA/II-G01 Standards of Conduct,insurance
insurance,ID 2/04 Applications for Exemptions - Insurance Act (Cap. 142),insurance
insurance,Insurance Act,insurance
insurance,Cap. 41 Insurance Ordinance,insurance
insurance,Life Insurance Act 1908,insurance
insurance,Insurance (Prudential Supervision) Act 2010,insurance
insurance,Insurance Law Reform Act 1977,insurance
insurance,Insurance Intermediaries Act 1994,insurance
insurance,Act on the Supervision of Insurance Undertakings,insurance
insurance,Regulation on insurance mediation and advice,insurance
insurance,Investments in Hedge Funds,insurance
insurance,Circular on the conducting of stress tests,insurance
insurance,Regulation on Information Obligations for Insurance Contracts,insurance
insurance,Guidance Notes on the Investment of Restricted Assets of Insurance Undertakings,insurance
insurance,Collective decree: complaints management function and complaints-handling of insurance undertakings,insurance
insurance,"Guidelines on cooperation with insurance intermediaries, distribution-related activities and risk management in insurance product distribution",insurance
insurance,Regulation on Notifications in Accordance with Section2c of the German Banking Act and section 104 of the German Insurance Supervision Act,insurance
insurance,Insurance Remuneration Ordinance,insurance
insurance,Regulation on Financial Reinsurance Contracts and Contracts without Reasonable Risk Transfer (Financial Reinsurance Regulation - FinRVV),insurance
insurance,Regulation on information requirements for insurance contracts,insurance
insurance,Regulation on the accounting of insurance companies,insurance
insurance,Regulation on the audit of the annual accounts and the annual report of insurance undertakings by an independent expert,insurance
insurance,Regulation on the capitalization of insurance companies,insurance
insurance,Regulation on the Conciliation Body for the Settlement of Consumer Disputes on Distance Insurance Contracts,insurance
insurance,"Regulation on the investment of the pension fund assets of pension funds, life insurance funds and small insurance companies",insurance
insurance,Ordinance on Information Requirements for Insurance Contracts,insurance
insurance,Deposit Insurance Act,insurance
insurance,Insurance Tax Act,insurance
insurance,Law on the supervision of insurance companies,insurance
insurance,Finansinspektionen’s regulations and general guidelines regarding supervisory reporting for insurance business,insurance
insurance,Governing insurance mediation,insurance
insurance,Insurance Companies Act,insurance
insurance,Non-Life Insurance Act B.E. 2535 (Amended by Non-Life Insurance Act (No. 2) B.E. 2551 and (No. 3) B.E. 2558),insurance
insurance,Regulation under Non-life Insurance Act,insurance
insurance & takaful,"Amendments to the Application Forms BNM/JPI/APP1, BNM/JPI/APP2, BNM/JPI/APP/TO and BNM/DIR/TO for the Appointment/Reappointment of Chairman, Directors and Chief Executive Officers",insurance
insurance & takaful,Amendments to the Circular JPI: 23/2004 for the Submission of the information and Statistics to Bank Negara Malaysia,insurance
insurance & takaful,Anti-Money Laundering and Counter Financing of Terrorism (AML/CFT) - Insurance and Takaful (Sector 2),insurance
insurance & takaful,Application to be Approved as Financial Holding Company Pursuant to Sections 280(2) and 280(3) of the Financial Services Act 2013 and Section 290(1) of the Islamic Financial Services Act 2013,insurance
insurance & takaful,Appointed Actuary : Appointment and Duties,insurance
insurance & takaful,Appointed Actuary: Appointment and Duties (for reinsurers and retakaful operators),insurance
insurance & takaful,Approach to Regulating and Supervising Financial Groups,insurance
insurance & takaful,Code of Conduct for Malaysia Wholesale Financial Markets,insurance
insurance & takaful,Compliance,insurance
insurance & takaful,Concept Paper on Direct Distribution Channels for Pure Protection Products,insurance
insurance & takaful,Concept paper on Ijarah,insurance
insurance & takaful,Concept Paper on Introduction of New Products by Insurers and Takaful Operators,insurance
insurance & takaful,Concept paper on Istisna’,insurance
insurance & takaful,Concept Paper on Principles for a Fair and Effective Financial Market for the Malaysian Financial Market,insurance
insurance & takaful,Concept Paper on Shariah Parameter Reference 4: Musharakah Contract,insurance
insurance & takaful,Concept Paper on Shariah Parameter Reference 5: Istisna' Contract,insurance
insurance & takaful,"Concept paper on Shariah Requirements, Optional Practices and Operational Requirements of Mudarabah",insurance
insurance & takaful,"Concept paper on Shariah Requirements, Optional Practices and Operational Requirements of Musharakah",insurance
insurance & takaful,Concept Paper on Stress Testing for Insurers and Takaful Operators,insurance
insurance & takaful,Corporate Governance,insurance
insurance & takaful,Direct Distribution Channels for Pure Protection Products,insurance
insurance & takaful,Discussion Paper on Microinsurance and Microtakaful,insurance
insurance & takaful,"Electronic Submission of Actuarial Certificates, Addendums and Supporting Documents",insurance
insurance & takaful,Exposure Draft on Employee Screening,insurance
insurance & takaful,Exposure Draft on Outsourcing,insurance
insurance & takaful,External Auditor ** effective 1 January 2015,insurance
insurance & takaful,Financial Condition Report,insurance
insurance & takaful,Financial Reporting,insurance
insurance & takaful,Financial Reporting for Takaful Operators,insurance
insurance & takaful,Fit and Proper Criteria,insurance
insurance & takaful,Foreign-Currency Denominated Life Insurance Policies,insurance
insurance & takaful,Granting of Credit Facilities (effective 1 December 2015),insurance
insurance & takaful,Guidelines on Application for Registration and Operation of Retakaful Operator. This supersedes the two previous guidelines below :,insurance
insurance & takaful,Guidelines on Data Management and MIS Framework *Same guideline applies to Banking,insurance
insurance & takaful,Guidelines on Dynamic Solvency Testing,insurance
insurance & takaful,Guidelines on Financial Condition Report,insurance
insurance & takaful,"Guidelines on Ibra' (Rebate) for Sale-Based Financing * Same guideline applies to Banking, Insurance & Takaful and Development Financial Institutions",insurance
insurance & takaful,Guidelines on Internal Capital Adequacy Assessment Process (ICAAP) for Insurers,insurance
insurance & takaful,Guidelines on Internet Insurance,insurance
insurance & takaful,Guidelines on Investment Management for Takaful Operators,insurance
insurance & takaful,Guidelines on Related Party Transactions for Takaful Operators,insurance
insurance & takaful,Guidelines on Stress Testing for Insurers,insurance
insurance & takaful,Guidelines on Stress Testing for Takaful Operators,insurance
insurance & takaful,Guidelines on Valuation Basis for Liabilities of Family Takaful Business,insurance
insurance & takaful,Guidelines on Valuation Basis for Liabilities of General Takaful Business,insurance
insurance & takaful,Information Requirement under Section 279(1) of the Financial Services Act 2013,insurance
insurance & takaful,Internal Capital Adequacy Assessment Process for Takaful Operators,insurance
insurance & takaful,Internal Capital Adequacy Assessment Process for Takaful Operators,insurance
insurance & takaful,Internet Takaful,insurance
insurance & takaful,Introduction of New Products by Insurers and Takaful Operators,insurance
insurance & takaful,Life insurance and Family Takaful Framework,insurance
insurance & takaful,Management of Insurance Funds,insurance
insurance & takaful,Management of Participating Life Business,insurance
insurance & takaful,Market Value of Motor Vehicles,insurance
insurance & takaful,Minimum Paid-up Capital Requirement for Takaful Operators,insurance
insurance & takaful,Murabahah,insurance
insurance & takaful,Phased Liberalisation of Motor and Fire Tariffs,insurance
insurance & takaful,Prohibited Business Conduct,insurance
insurance & takaful,Regulated Short-Selling of Securities in the Wholesale Money Market,insurance
insurance & takaful,Regulatory Treatment of BNM Mudarabah Certificate (BMC) for Licensed Insurers and Licensed Takaful Operators,insurance
insurance & takaful,Related Party Transactions,insurance
insurance & takaful,Removal of Limits on Management Expenses of Licensed Life Insurers,insurance
insurance & takaful,Resolusi Syariah dalam Kewangan Islam MPS BNM (2010-2012),insurance
insurance & takaful,Resolutions of Shariah Advisory Council of Bank Negara Malaysia 2010 - 2011,insurance
insurance & takaful,Revised BNM/APP and BNM/DIR Application Forms and Statutory Declaration Form,insurance
insurance & takaful,Revised Guidelines on Derivatives for Insurers,insurance
insurance & takaful,"Risk Governance * Same guideline applies to Banking, Insurance & Takaful and Development Financial Institutions",insurance
insurance & takaful,Risk-Based Capital Framework for Insurers,insurance
insurance & takaful,Risk-Based Capital Framework for Takaful Operators,insurance
insurance & takaful,Shareholder Suitability,insurance
insurance & takaful,Shariah Governance Framework for Islamic Financial Institutions,insurance
insurance & takaful,Shariah Leaders Education Programme,insurance
insurance & takaful,Staff Training Expenditure (STE),insurance
insurance & takaful,Stress Testing,insurance
insurance & takaful,Stress Testing,insurance
insurance & takaful,Transfers of business,insurance
insurance & takaful,Anti-Money Laundering and Counter Financing of Terrorism (AML/CFT) - Banking and Deposit-Taking Institutions (Sector 1) * Same guideline applies to Banking,insurance
insurance & takaful,Capital Framework for Development Financial Institutions,insurance
insurance & takaful,Circular on POWER! Programme,insurance
insurance & takaful,Circular pursuant to Section 83 of the Anti-Money Laundering and Anti-Terrorism Financing Act 2001 (AMLATFA) on the recent Public Statement Issued by the FATF,insurance
insurance & takaful,Code of Conduct for Malaysia Wholesale Financial Markets,insurance
